cognate_id	lect_id	segments	confidence
vl1-01-000	mandarin	p i	1.0
vl1-01-000	cantonese	p i	1.0
vl1-02-001	mandarin	p a	1.0
vl1-02-001	cantonese	p a	1.0
vl1-03-002	mandarin	p u	1.0
vl1-03-002	cantonese	p u	1.0
vl1-04-003	mandarin	p o	1.0
vl1-04-003	cantonese	p o	1.0
vl1-05-004	mandarin	p e	1.0
vl1-05-004	cantonese	p e	1.0
vl1-06-005	mandarin	t i	1.0
vl1-06-005	cantonese	t i	1.0
vl1-07-006	mandarin	t a	1.0
vl1-07-006	cantonese	t a	1.0
vl1-08-007	mandarin	t u	1.0
vl1-08-007	cantonese	t u	1.0
vl1-09-008	mandarin	t o	1.0
vl1-09-008	cantonese	t o	1.0
vl1-10-009	mandarin	t e	1.0
vl1-10-009	cantonese	t e	1.0
vl2-01-010	mandarin	p i	1.0
vl2-01-010	cantonese	p i	1.0
vl2-02-011	mandarin	p a	1.0
vl2-02-011	cantonese	p a	1.0
vl2-03-012	mandarin	p u	1.0
vl2-03-012	cantonese	p u	1.0
vl2-04-013	mandarin	p o	1.0
vl2-04-013	cantonese	p o	1.0
vl2-05-014	mandarin	p e	1.0
vl2-05-014	cantonese	p e	1.0
vl2-06-015	mandarin	t i	1.0
vl2-06-015	cantonese	t i	1.0
vl2-07-016	mandarin	t a	1.0
vl2-07-016	cantonese	t a	1.0
vl2-08-017	mandarin	t u	1.0
vl2-08-017	cantonese	t u	1.0
vl2-09-018	mandarin	t o	1.0
vl2-09-018	cantonese	t o	1.0
vl2-10-019	mandarin	t e	1.0
vl2-10-019	cantonese	t e	1.0
vl3-01-020	mandarin	p i	1.0
vl3-01-020	cantonese	p i	1.0
vl3-02-021	mandarin	p a	1.0
vl3-02-021	cantonese	p a	1.0
vl3-03-022	mandarin	p u	1.0
vl3-03-022	cantonese	p u	1.0
vl3-04-023	mandarin	p o	1.0
vl3-04-023	cantonese	p o	1.0
vl3-05-024	mandarin	p e	1.0
vl3-05-024	cantonese	p e	1.0
vl3-06-025	mandarin	t i	1.0
vl3-06-025	cantonese	t i	1.0
vl3-07-026	mandarin	t a	1.0
vl3-07-026	cantonese	t a	1.0
vl3-08-027	mandarin	t u	1.0
vl3-08-027	cantonese	t u	1.0
vl3-09-028	mandarin	t o	1.0
vl3-09-028	cantonese	t o	1.0
vl3-10-029	mandarin	t e	1.0
vl3-10-029	cantonese	t e	1.0
vl4-01-030	mandarin	p i	1.0
vl4-01-030	cantonese	p i	1.0
vl4-02-031	mandarin	p a	1.0
vl4-02-031	cantonese	p a	1.0
vl4-03-032	mandarin	p u	1.0
vl4-03-032	cantonese	p u	1.0
vl4-04-033	mandarin	p o	1.0
vl4-04-033	cantonese	p o	1.0
vl4-05-034	mandarin	p e	1.0
vl4-05-034	cantonese	p e	1.0
vl4-06-035	mandarin	t i	1.0
vl4-06-035	cantonese	t i	1.0
vl4-07-036	mandarin	t a	1.0
vl4-07-036	cantonese	t a	1.0
vl4-08-037	mandarin	t u	1.0
vl4-08-037	cantonese	t u	1.0
vl4-09-038	mandarin	t o	1.0
vl4-09-038	cantonese	t o	1.0
vl4-10-039	mandarin	t e	1.0
vl4-10-039	cantonese	t e	1.0
vd1-01-040	mandarin	b i	1.0
vd1-01-040	cantonese	b i	1.0
vd1-02-041	mandarin	b a	1.0
vd1-02-041	cantonese	b a	1.0
vd1-03-042	mandarin	b u	1.0
vd1-03-042	cantonese	b u	1.0
vd1-04-043	mandarin	b o	1.0
vd1-04-043	cantonese	b o	1.0
vd1-05-044	mandarin	b e	1.0
vd1-05-044	cantonese	b e	1.0
vd1-06-045	mandarin	d i	1.0
vd1-06-045	cantonese	d i	1.0
vd1-07-046	mandarin	d a	1.0
vd1-07-046	cantonese	d a	1.0
vd1-08-047	mandarin	d u	1.0
vd1-08-047	cantonese	d u	1.0
vd1-09-048	mandarin	d o	1.0
vd1-09-048	cantonese	d o	1.0
vd1-10-049	mandarin	d e	1.0
vd1-10-049	cantonese	d e	1.0
vd2-01-050	mandarin	b i	1.0
vd2-01-050	cantonese	b i	1.0
vd2-02-051	mandarin	b a	1.0
vd2-02-051	cantonese	b a	1.0
vd2-03-052	mandarin	b u	1.0
vd2-03-052	cantonese	b u	1.0
vd2-04-053	mandarin	b o	1.0
vd2-04-053	cantonese	b o	1.0
vd2-05-054	mandarin	b e	1.0
vd2-05-054	cantonese	b e	1.0
vd2-06-055	mandarin	d i	1.0
vd2-06-055	cantonese	d i	1.0
