cognate_id	lect_id	segments	confidence
father-000	latin	p a t e r	1.0
father-000	spanish	p a d r e	1.0
mother-001	latin	m a t e r	1.0
mother-001	spanish	m a d r e	1.0
brother-002	latin	f r a t e r	1.0
brother-002	spanish	e r m a n o	1.0
sister-003	latin	s o r o r	1.0
sister-003	spanish	e r m a n a	1.0
son-004	latin	f i l i u	1.0
son-004	spanish	i x o	1.0
daughter-005	latin	f i l i a	1.0
daughter-005	spanish	i x a	1.0
head-006	latin	k a p u t	1.0
head-006	spanish	k a b e θ a	1.0
eye-007	latin	o k u l u	1.0
eye-007	spanish	o x o	1.0
ear-008	latin	a u r i s	1.0
ear-008	spanish	o r e ʎ a	1.0
nose-009	latin	n a s u	1.0
nose-009	spanish	n a s o	1.0
mouth-010	latin	b u k k a	1.0
mouth-010	spanish	b o k a	1.0
tongue-011	latin	l i n g u a	1.0
tongue-011	spanish	l e n g w a	1.0
tooth-012	latin	d e n t e m	1.0
tooth-012	spanish	d j e n t e	1.0
neck-013	latin	k o l l u	1.0
neck-013	spanish	k w e ʎ o	1.0
hand-014	latin	m a n u	1.0
hand-014	spanish	m a n o	1.0
foot-015	latin	p e d e	1.0
foot-015	spanish	p j e	1.0
heart-016	latin	k o r	1.0
heart-016	spanish	k o r a θ o n	1.0
blood-017	latin	s a n g u i n e	1.0
blood-017	spanish	s a n g r e	1.0
bone-018	latin	o s s u	1.0
bone-018	spanish	w e s o	1.0
skin-019	latin	p e l l e	1.0
skin-019	spanish	p j e l	1.0
hair-020	latin	k a p i l l u	1.0
hair-020	spanish	k a b e ʎ o	1.0
milk-021	latin	l a k t e	1.0
milk-021	spanish	l e t ʃ e	1.0
night-022	latin	n o k t e	1.0
night-022	spanish	n o t ʃ e	1.0
day-023	latin	d j e	1.0
day-023	spanish	d i a	1.0
sun-024	latin	s o l e	1.0
sun-024	spanish	s o l	1.0
moon-025	latin	l u n a	1.0
moon-025	spanish	l u n a	1.0
star-026	latin	s t e l l a	1.0
star-026	spanish	e s t r e ʎ a	1.0
water-027	latin	a q u a	1.0
water-027	spanish	a g w a	1.0
fire-028	latin	f o k u s	1.0
fire-028	spanish	f w e g o	1.0
earth-029	latin	t e r r a	1.0
earth-029	spanish	t j e r r a	1.0
stone-030	latin	p e t r a	1.0
stone-030	spanish	p j e d r a	1.0
wood-031	latin	l i g n u	1.0
wood-031	spanish	l e ɲ o	1.0
leaf-032	latin	f o l i a	1.0
leaf-032	spanish	o x a	1.0
tree-033	latin	a r b o r	1.0
tree-033	spanish	a r b o l	1.0
flower-034	latin	f l o r e	1.0
flower-034	spanish	f l o r	1.0
fruit-035	latin	f r u k t u	1.0
fruit-035	spanish	f r u t o	1.0
seed-036	latin	s e m e n	1.0
seed-036	spanish	s e m i ʎ a	1.0
wind-037	latin	v e n t u	1.0
wind-037	spanish	b j e n t o	1.0
rain-038	latin	p l u v i a	1.0
rain-038	spanish	ʎ u b j a	1.0
sky-039	latin	k a e l u	1.0
sky-039	spanish	θ j e l o	1.0
dog-040	latin	k a n e	1.0
dog-040	spanish	p e r r o	1.0
cat-041	latin	k a t t u	1.0
cat-041	spanish	g a t o	1.0
horse-042	latin	k a b a l l u	1.0
horse-042	spanish	k a b a ʎ o	1.0
cow-043	latin	v a k k a	1.0
cow-043	spanish	b a k a	1.0
bird-044	latin	a v i s	1.0
bird-044	spanish	a b e	1.0
fish-045	latin	p i s c e	1.0
fish-045	spanish	p e θ	1.0
snake-046	latin	s e r p e n t e	1.0
snake-046	spanish	s e r p j e n t e	1.0
mouse-047	latin	m u r e	1.0
mouse-047	spanish	r a t o n	1.0
wolf-048	latin	l u p u	1.0
wolf-048	spanish	l o b o	1.0
bear-049	latin	u r s u	1.0
bear-049	spanish	o s o	1.0
man-050	latin	o m o	1.0
man-050	spanish	o m b r e	1.0
woman-051	latin	f e m i n a	1.0
woman-051	spanish	e m b e r	1.0
king-052	latin	r e g e	1.0
king-052	spanish	r e j	1.0
year-053	latin	a n n u	1.0
year-053	spanish	a ɲ o	1.0
month-054	latin	m e n s e	1.0
month-054	spanish	m e s	1.0
name-055	latin	n o m e n	1.0
name-055	spanish	n o m b r e	1.0
three-056	latin	t r e s	1.0
three-056	spanish	t r e s	1.0
four-057	latin	q u a t t u o r	1.0
four-057	spanish	k w a t r o	1.0
five-058	latin	k i n k w e	1.0
five-058	spanish	θ i n k o	1.0
seven-059	latin	s e p t e m	1.0
seven-059	spanish	s j e t e	1.0
eight-060	latin	o k t o	1.0
eight-060	spanish	o t ʃ o	1.0
nine-061	latin	n o v e m	1.0
nine-061	spanish	n w e v e	1.0
ten-062	latin	d e c e m	1.0
ten-062	spanish	d j e θ	1.0
good-063	latin	b o n u	1.0
good-063	spanish	b w e n o	1.0
bad-064	latin	m a l u	1.0
bad-064	spanish	m a l o	1.0
new-065	latin	n o v u	1.0
new-065	spanish	n w e β o	1.0
old-066	latin	v e t u l u	1.0
old-066	spanish	b j e x o	1.0
big-067	latin	g r a n d e	1.0
big-067	spanish	g r a n d e	1.0
small-068	latin	p a r v u	1.0
small-068	spanish	p e q w e ɲ o	1.0
long-069	latin	l o n g u	1.0
long-069	spanish	l a r g o	1.0
short-070	latin	k u r t u	1.0
