cognate_id	lect_id	segments
w00	asrc	b a t a
w00	btgt	b ˈa t a
w01	asrc	b e t a
w01	btgt	b ˈe t a
w02	asrc	b i t a
w02	btgt	b ˈi t a
w03	asrc	b o t a
w03	btgt	b ˈo t a
w04	asrc	b u t a
w04	btgt	b ˈu t a
w05	asrc	d a t a
w05	btgt	d ˈa t a
w06	asrc	d e t a
w06	btgt	d ˈe t a
w07	asrc	d i t a
w07	btgt	d ˈi t a
w08	asrc	d o t a
w08	btgt	d ˈo t a
w09	asrc	d u t a
w09	btgt	d ˈu t a
w10	asrc	g a t a
w10	btgt	g ˈa t a
w11	asrc	g e t a
w11	btgt	g ˈe t a
w12	asrc	g i t a
w12	btgt	g ˈi t a
w13	asrc	g o t a
w13	btgt	g ˈo t a
w14	asrc	g u t a
w14	btgt	g ˈu t a
w15	asrc	p a t a
w15	btgt	p ˌa t a
w16	asrc	p e t a
w16	btgt	p ˌe t a
w17	asrc	p i t a
w17	btgt	p ˌi t a
w18	asrc	p o t a
w18	btgt	p ˌo t a
w19	asrc	p u t a
w19	btgt	p ˌu t a
w20	asrc	t a t a
w20	btgt	t ˌa t a
w21	asrc	t e t a
w21	btgt	t ˌe t a
w22	asrc	t i t a
w22	btgt	t ˌi t a
w23	asrc	t o t a
w23	btgt	t ˌo t a
