cognate_id	lect_id	segments	length
w00	asrc	p a b a	- - - -
w00	btgt	p a b a	- long - -
w01	asrc	p a d a	- - - -
w01	btgt	p a d a	- long - -
w02	asrc	p a g a	- - - -
w02	btgt	p a g a	- long - -
w03	asrc	p a p a	- - - -
w03	btgt	p a p a	- short - -
w04	asrc	p a t a	- - - -
w04	btgt	p a t a	- short - -
w05	asrc	p a k a	- - - -
w05	btgt	p a k a	- short - -
w06	asrc	p e b e	- - - -
w06	btgt	p e b e	- long - -
w07	asrc	p e d e	- - - -
w07	btgt	p e d e	- long - -
w08	asrc	p e g e	- - - -
w08	btgt	p e g e	- long - -
w09	asrc	p e p e	- - - -
w09	btgt	p e p e	- short - -
w10	asrc	p e t e	- - - -
w10	btgt	p e t e	- short - -
w11	asrc	p e k e	- - - -
w11	btgt	p e k e	- short - -
w12	asrc	p i b i	- - - -
w12	btgt	p i b i	- long - -
w13	asrc	p i d i	- - - -
w13	btgt	p i d i	- long - -
w14	asrc	p i g i	- - - -
w14	btgt	p i g i	- long - -
w15	asrc	p i p i	- - - -
w15	btgt	p i p i	- short - -
w16	asrc	p i t i	- - - -
w16	btgt	p i t i	- short - -
w17	asrc	p i k i	- - - -
w17	btgt	p i k i	- short - -
w18	asrc	p o b o	- - - -
w18	btgt	p o b o	- long - -
w19	asrc	p o d o	- - - -
w19	btgt	p o d o	- long - -
w20	asrc	p o g o	- - - -
w20	btgt	p o g o	- long - -
w21	asrc	p o p o	- - - -
w21	btgt	p o p o	- short - -
w22	asrc	p o t o	- - - -
w22	btgt	p o t o	- short - -
w23	asrc	p o k o	- - - -
w23	btgt	p o k o	- short - -
w24	asrc	p u b u	- - - -
w24	btgt	p u b u	- long - -
w25	asrc	p u d u	- - - -
w25	btgt	p u d u	- long - -
w26	asrc	p u g u	- - - -
w26	btgt	p u g u	- long - -
w27	asrc	p u p u	- - - -
w27	btgt	p u p u	- short - -
w28	asrc	p u t u	- - - -
w28	btgt	p u t u	- short - -
w29	asrc	p u k u	- - - -
w29	btgt	p u k u	- short - -
