cognate_id	lect_id	segments	confidence
a0	src	a t p	1.0
a0	tgt	a t f	1.0
a1	src	a k p	1.0
a1	tgt	a k f	1.0
a2	src	a n p	1.0
a2	tgt	a n f	1.0
a3	src	a m p	1.0
a3	tgt	a m f	1.0
a4	src	a s p	1.0
a4	tgt	a s f	1.0
a5	src	a l p	1.0
a5	tgt	a l f	1.0
a6	src	a r p	1.0
a6	tgt	a r f	1.0
a7	src	a w p	1.0
a7	tgt	a w f	1.0
i0	src	i t p	1.0
i0	tgt	i t p	1.0
i1	src	i k p	1.0
i1	tgt	i k p	1.0
i2	src	i n p	1.0
i2	tgt	i n p	1.0
i3	src	i m p	1.0
i3	tgt	i m p	1.0
i4	src	i s p	1.0
i4	tgt	i s p	1.0
i5	src	i l p	1.0
i5	tgt	i l p	1.0
i6	src	i r p	1.0
i6	tgt	i r p	1.0
i7	src	i w p	1.0
i7	tgt	i w p	1.0
