cognate_id	lect_id	segments	confidence
bad-000	latin	m a l u	1.0
bad-000	spanish	m a l o	1.0
bad-000	french	m a l	1.0
bad-000	italian	m a l o	1.0
bear-001	latin	u r s u	1.0
bear-001	spanish	o s o	1.0
bear-001	french	u ʁ s	1.0
bear-001	italian	o r s o	1.0
big-002	latin	g r a n d e	1.0
big-002	spanish	g r a n d e	1.0
big-002	french	ɡ ʁ ɑ̃	1.0
big-002	italian	ɡ r a n d e	1.0
bird-003	latin	a v i s	1.0
bird-003	spanish	a b e	1.0
bird-003	french	w a z o	1.0
bird-003	italian	u k k ɛ l l o	1.0
black-004	latin	n i g r u	1.0
black-004	spanish	n e g r o	1.0
black-004	french	n w a ʁ	1.0
black-004	italian	n e r o	1.0
blood-005	latin	s a n g u i n e	1.0
blood-005	spanish	s a n g r e	1.0
blood-005	french	s ɑ̃	1.0
blood-005	italian	s a ŋ ɡ w e	1.0
bone-006	latin	o s s u	1.0
bone-006	spanish	w e s o	1.0
bone-006	french	o	1.0
bone-006	italian	ɔ s s o	1.0
break-007	latin	f r a n g e r e	1.0
break-007	spanish	r o m p e r	1.0
break-007	french	k a s e	1.0
break-007	italian	r o m p e r e	1.0
brother-008	latin	f r a t e r	1.0
brother-008	spanish	e r m a n o	1.0
brother-008	french	f ʁ ɛ ʁ	1.0
brother-008	italian	f r a t ɛ l l o	1.0
cat-009	latin	k a t t u	1.0
cat-009	spanish	g a t o	1.0
cat-009	french	ʃ a	1.0
cat-009	italian	ɡ a t t o	1.0
cold-010	latin	f r i g i d u	1.0
cold-010	spanish	f r i o	1.0
cold-010	french	f ʁ w a	1.0
cold-010	italian	f r ɛ d d o	1.0
come-011	latin	v e n i r e	1.0
come-011	spanish	b e n i r	1.0
come-011	french	v ə n i ʁ	1.0
come-011	italian	v e n i r e	1.0
cow-012	latin	v a k k a	1.0
cow-012	spanish	b a k a	1.0
cow-012	french	v a ʃ	1.0
cow-012	italian	m u k k a	1.0
daughter-013	latin	f i l i a	1.0
daughter-013	spanish	i x a	1.0
daughter-013	french	f i ʝ	1.0
daughter-013	italian	f i ʎ a	1.0
day-014	latin	d j e	1.0
day-014	spanish	d i a	1.0
day-014	french	ʒ u ʁ	1.0
day-014	italian	d ʒ o r n o	1.0
die-015	latin	m o r i	1.0
die-015	spanish	m o r i r	1.0
die-015	french	m u ʁ i ʁ	1.0
die-015	italian	m o r i r e	1.0
dog-016	latin	k a n e	1.0
dog-016	spanish	p e r r o	1.0
dog-016	french	ʃ j ɛ̃	1.0
dog-016	italian	k a n e	1.0
drink-017	latin	b i b e r e	1.0
drink-017	spanish	b e b e r	1.0
drink-017	french	b w a ʁ	1.0
drink-017	italian	b e r e	1.0
ear-018	latin	a u r i s	1.0
ear-018	spanish	o r e ʎ a	1.0
ear-018	french	ɔ ʁ ɛ j	1.0
ear-018	italian	o r ɛ k k j o	1.0
earth-019	latin	t e r r a	1.0
earth-019	spanish	t j e r r a	1.0
earth-019	french	t ɛ ʁ	1.0
earth-019	italian	t ɛ r r a	1.0
eat-020	latin	k o m e d e r e	1.0
eat-020	spanish	k o m e r	1.0
eat-020	french	m ɑ̃ ʒ e	1.0
eat-020	italian	m a n d ʒ a r e	1.0
eight-021	latin	o k t o	1.0
eight-021	spanish	o t ʃ o	1.0
eight-021	french	ɥ i t	1.0
eight-021	italian	o t t o	1.0
eye-022	latin	o k u l u	1.0
eye-022	spanish	o x o	1.0
eye-022	french	œ j	1.0
eye-022	italian	ɔ k k j o	1.0
father-023	latin	p a t e r	1.0
father-023	spanish	p a d r e	1.0
father-023	french	p ɛ ʁ	1.0
father-023	italian	p a d r e	1.0
fire-024	latin	f o k u s	1.0
fire-024	spanish	f w e g o	1.0
fire-024	french	f ø	1.0
fire-024	italian	f w ɔ k o	1.0
fish-025	latin	p i s c e	1.0
fish-025	spanish	p e θ	1.0
fish-025	french	p w a s ɔ̃	1.0
fish-025	italian	p e ʃ e	1.0
five-026	latin	k i n k w e	1.0
five-026	spanish	θ i n k o	1.0
five-026	french	s ɛ̃ k	1.0
five-026	italian	t ʃ i ŋ k w e	1.0
flower-027	latin	f l o r e	1.0
flower-027	spanish	f l o r	1.0
flower-027	french	f l œ ʁ	1.0
flower-027	italian	f j o r e	1.0
foot-028	latin	p e d e	1.0
foot-028	spanish	p j e	1.0
foot-028	french	p j e	1.0
foot-028	italian	p j ɛ d e	1.0
four-029	latin	q u a t t u o r	1.0
four-029	spanish	k w a t r o	1.0
four-029	french	k a t ʁ	1.0
four-029	italian	k w a t t r o	1.0
fruit-030	latin	f r u k t u	1.0
fruit-030	spanish	f r u t o	1.0
fruit-030	french	f ʁ ɥ i	1.0
fruit-030	italian	f r u t t o	1.0
give-031	latin	d a r e	1.0
