cognate_id	lect_id	segments
w000	old	b a ⁵⁵
w000	young	p a ¹¹
w001	old	b i n ⁵⁵
w001	young	p i n ¹¹
w002	old	b u ŋ ⁵⁵
w002	young	p u ŋ ¹¹
w003	old	b e ⁵⁵
w003	young	p e ¹¹
w004	old	d a n ⁵⁵
w004	young	t a n ¹¹
w005	old	d i ŋ ⁵⁵
w005	young	t i ŋ ¹¹
w006	old	d u ⁵⁵
w006	young	t u ¹¹
w007	old	d e n ⁵⁵
w007	young	t e n ¹¹
w008	old	g a ŋ ⁵⁵
w008	young	k a ŋ ¹¹
w009	old	g i ⁵⁵
w009	young	k i ¹¹
w010	old	g u n ⁵⁵
w010	young	k u n ¹¹
w011	old	g e ŋ ⁵⁵
w011	young	k e ŋ ¹¹
w012	old	z a ⁵⁵
w012	young	s a ¹¹
w013	old	z i n ⁵⁵
w013	young	s i n ¹¹
w014	old	z u ŋ ⁵⁵
w014	young	s u ŋ ¹¹
w015	old	z e ⁵⁵
w015	young	s e ¹¹
w016	old	v a n ⁵⁵
w016	young	f a n ¹¹
w017	old	v i ŋ ⁵⁵
w017	young	f i ŋ ¹¹
w018	old	v u ⁵⁵
w018	young	f u ¹¹
w019	old	v e n ⁵⁵
w019	young	f e n ¹¹
w020	old	dz a ŋ ⁵⁵
w020	young	ts a ŋ ¹¹
w021	old	dz i ⁵⁵
w021	young	ts i ¹¹
w022	old	dz u n ⁵⁵
w022	young	ts u n ¹¹
w023	old	dz e ŋ ⁵⁵
w023	young	ts e ŋ ¹¹
w024	old	p a ⁵⁵
w024	young	p a ⁵⁵
w025	old	p i n ⁵⁵
w025	young	p i n ⁵⁵
w026	old	p u ŋ ⁵⁵
w026	young	p u ŋ ⁵⁵
w027	old	p e ⁵⁵
w027	young	p e ⁵⁵
w028	old	t a n ⁵⁵
w028	young	t a n ⁵⁵
w029	old	t i ŋ ⁵⁵
w029	young	t i ŋ ⁵⁵
w030	old	t u ⁵⁵
w030	young	t u ⁵⁵
w031	old	t e n ⁵⁵
w031	young	t e n ⁵⁵
w032	old	k a ŋ ⁵⁵
w032	young	k a ŋ ⁵⁵
w033	old	k i ⁵⁵
w033	young	k i ⁵⁵
w034	old	k u n ⁵⁵
w034	young	k u n ⁵⁵
w035	old	k e ŋ ⁵⁵
w035	young	k e ŋ ⁵⁵
w036	old	s a ⁵⁵
w036	young	s a ⁵⁵
w037	old	s i n ⁵⁵
w037	young	s i n ⁵⁵
w038	old	s u ŋ ⁵⁵
w038	young	s u ŋ ⁵⁵
w039	old	s e ⁵⁵
w039	young	s e ⁵⁵
w040	old	f a n ⁵⁵
w040	young	f a n ⁵⁵
w041	old	f i ŋ ⁵⁵
w041	young	f i ŋ ⁵⁵
w042	old	f u ⁵⁵
w042	young	f u ⁵⁵
w043	old	f e n ⁵⁵
w043	young	f e n ⁵⁵
w044	old	ts a ŋ ⁵⁵
w044	young	ts a ŋ ⁵⁵
w045	old	ts i ⁵⁵
w045	young	ts i ⁵⁵
w046	old	ts u n ⁵⁵
w046	young	ts u n ⁵⁵
w047	old	ts e ŋ ⁵⁵
w047	young	ts e ŋ ⁵⁵
