cognate_id	lect_id	segments	confidence
C1-000	proto	p a t a	1.0
C1-000	derived	f a d a	1.0
C2-001	proto	p e t i	1.0
C2-001	derived	f e t i	1.0
C3-002	proto	p a t u	1.0
C3-002	derived	f a d u	1.0
C4-003	proto	p o t a	1.0
C4-003	derived	f o d a	1.0
C5-004	proto	p i t u	1.0
C5-004	derived	f i d u	1.0
C6-005	proto	p a t o	1.0
C6-005	derived	f a t o	1.0
C7-006	proto	p e k a	1.0
C7-006	derived	f e k a	1.0
C8-007	proto	p e k o	1.0
C8-007	derived	f e k o	1.0
C9-008	proto	p a k i	1.0
C9-008	derived	f a k i	1.0
C10-009	proto	p a k o	1.0
C10-009	derived	f a k o	1.0
C11-010	proto	p e t a	1.0
C11-010	derived	f e t a	1.0
C12-011	proto	p o t o	1.0
C12-011	derived	f o t o	1.0
C13-012	proto	p u k a	1.0
C13-012	derived	f u k a	1.0
C14-013	proto	p a k u	1.0
C14-013	derived	f a k u	1.0
C15-014	proto	p e k i	1.0
C15-014	derived	f e k i	1.0
C16-015	proto	p o k a	1.0
C16-015	derived	f o k a	1.0
C17-016	proto	p i k o	1.0
C17-016	derived	f i k o	1.0
C18-017	proto	p e k u	1.0
C18-017	derived	f e k u	1.0
C19-018	proto	p a k a	1.0
C19-018	derived	f a k a	1.0
C20-019	proto	p o k i	1.0
C20-019	derived	f o k i	1.0
B1-020	proto	p a t a	0.0
B1-020	derived	z a n a	0.0
B2-021	proto	p e t i	0.0
B2-021	derived	q o m u	0.0
B3-022	proto	p a k a	0.0
B3-022	derived	x i m a	0.0
B4-023	proto	p i t o	0.0
B4-023	derived	k y r a	0.0
B5-024	proto	p o k e	0.0
B5-024	derived	n u r a	0.0
