cognate_id	lect_id	segments	tone	confidence
j000	src	b a	- 2	1.0
j000	tgt	b a	- 4	1.0
j001	src	b i	- 2	1.0
j001	tgt	b i	- 4	1.0
j002	src	b u	- 2	1.0
j002	tgt	b u	- 4	1.0
j003	src	d a	- 2	1.0
j003	tgt	d a	- 4	1.0
j004	src	d i	- 2	1.0
j004	tgt	d i	- 4	1.0
j005	src	d u	- 2	1.0
j005	tgt	d u	- 4	1.0
j006	src	g a	- 2	1.0
j006	tgt	g a	- 4	1.0
j007	src	g i	- 2	1.0
j007	tgt	g i	- 4	1.0
j008	src	g u	- 2	1.0
j008	tgt	g u	- 4	1.0
j009	src	m a	- 2	1.0
j009	tgt	m a	- 4	1.0
j010	src	m i	- 2	1.0
j010	tgt	m i	- 4	1.0
j011	src	m u	- 2	1.0
j011	tgt	m u	- 4	1.0
j012	src	b a	- 1	1.0
j012	tgt	b a	- 1	1.0
j013	src	b i	- 1	1.0
j013	tgt	b i	- 1	1.0
j014	src	b u	- 1	1.0
j014	tgt	b u	- 1	1.0
j015	src	b o	- 1	1.0
j015	tgt	b o	- 1	1.0
j016	src	d a	- 1	1.0
j016	tgt	d a	- 1	1.0
j017	src	d i	- 1	1.0
j017	tgt	d i	- 1	1.0
j018	src	d u	- 1	1.0
j018	tgt	d u	- 1	1.0
j019	src	d o	- 1	1.0
j019	tgt	d o	- 1	1.0
j020	src	g a	- 1	1.0
j020	tgt	g a	- 1	1.0
j021	src	g i	- 1	1.0
j021	tgt	g i	- 1	1.0
j022	src	g u	- 1	1.0
j022	tgt	g u	- 1	1.0
j023	src	g o	- 1	1.0
j023	tgt	g o	- 1	1.0
j024	src	p a	- 2	1.0
j024	tgt	p a	- 2	1.0
j025	src	p i	- 2	1.0
j025	tgt	p i	- 2	1.0
j026	src	p u	- 2	1.0
j026	tgt	p u	- 2	1.0
j027	src	t a	- 2	1.0
j027	tgt	t a	- 2	1.0
j028	src	t i	- 2	1.0
j028	tgt	t i	- 2	1.0
j029	src	t u	- 2	1.0
j029	tgt	t u	- 2	1.0
j030	src	k a	- 2	1.0
j030	tgt	k a	- 2	1.0
j031	src	k i	- 2	1.0
j031	tgt	k i	- 2	1.0
j032	src	k u	- 2	1.0
j032	tgt	k u	- 2	1.0
j033	src	s a	- 2	1.0
j033	tgt	s a	- 2	1.0
j034	src	s i	- 2	1.0
j034	tgt	s i	- 2	1.0
j035	src	s u	- 2	1.0
j035	tgt	s u	- 2	1.0
j036	src	p a	- 1	1.0
j036	tgt	p a	- 1	1.0
j037	src	p i	- 1	1.0
j037	tgt	p i	- 1	1.0
j038	src	p u	- 1	1.0
j038	tgt	p u	- 1	1.0
j039	src	p o	- 1	1.0
j039	tgt	p o	- 1	1.0
j040	src	t a	- 1	1.0
j040	tgt	t a	- 1	1.0
j041	src	t i	- 1	1.0
j041	tgt	t i	- 1	1.0
j042	src	t u	- 1	1.0
j042	tgt	t u	- 1	1.0
j043	src	t o	- 1	1.0
j043	tgt	t o	- 1	1.0
j044	src	k a	- 1	1.0
j044	tgt	k a	- 1	1.0
j045	src	k i	- 1	1.0
j045	tgt	k i	- 1	1.0
j046	src	k u	- 1	1.0
j046	tgt	k u	- 1	1.0
j047	src	k o	- 1	1.0
j047	tgt	k o	- 1	1.0
