gloss	mandarin	cantonese
vl1-01	pi¹¹	pi¹¹
vl1-02	pa¹¹	pa¹¹
vl1-03	pu¹¹	pu¹¹
vl1-04	po¹¹	po¹¹
vl1-05	pe¹¹	pe¹¹
vl1-06	ti¹¹	ti¹¹
vl1-07	ta¹¹	ta¹¹
vl1-08	tu¹¹	tu¹¹
vl1-09	to¹¹	to¹¹
vl1-10	te¹¹	te¹¹
vl2-01	pi²²	pi¹¹
vl2-02	pa²²	pa¹¹
vl2-03	pu²²	pu¹¹
vl2-04	po²²	po¹¹
vl2-05	pe²²	pe¹¹
vl2-06	ti²²	ti¹¹
vl2-07	ta²²	ta¹¹
vl2-08	tu²²	tu¹¹
vl2-09	to²²	to¹¹
vl2-10	te²²	te¹¹
vl3-01	pi³³	pi¹¹
vl3-02	pa³³	pa¹¹
vl3-03	pu³³	pu¹¹
vl3-04	po³³	po¹¹
vl3-05	pe³³	pe¹¹
vl3-06	ti³³	ti¹¹
vl3-07	ta³³	ta¹¹
vl3-08	tu³³	tu¹¹
vl3-09	to³³	to¹¹
vl3-10	te³³	te¹¹
vl4-01	pi⁴⁴	pi¹¹
vl4-02	pa⁴⁴	pa¹¹
vl4-03	pu⁴⁴	pu¹¹
vl4-04	po⁴⁴	po¹¹
vl4-05	pe⁴⁴	pe¹¹
vl4-06	ti⁴⁴	ti¹¹
vl4-07	ta⁴⁴	ta¹¹
vl4-08	tu⁴⁴	tu¹¹
vl4-09	to⁴⁴	to¹¹
vl4-10	te⁴⁴	te¹¹
vd1-01	bi¹¹	bi⁴⁴
vd1-02	ba¹¹	ba⁴⁴
vd1-03	bu¹¹	bu⁴⁴
vd1-04	bo¹¹	bo⁴⁴
vd1-05	be¹¹	be⁴⁴
vd1-06	di¹¹	di⁴⁴
vd1-07	da¹¹	da⁴⁴
vd1-08	du¹¹	du⁴⁴
vd1-09	do¹¹	do⁴⁴
vd1-10	de¹¹	de⁴⁴
vd2-01	bi²²	bi⁴⁴
vd2-02	ba²²	ba⁴⁴
vd2-03	bu²²	bu⁴⁴
vd2-04	bo²²	bo⁴⁴
vd2-05	be²²	be⁴⁴
vd2-06	di²²	di⁴⁴
vd2-07	da²²	da⁴⁴
vd2-08	du²²	du⁴⁴
vd2-09	do²²	do⁴⁴
vd2-10	de²²	de⁴⁴
vd3-01	bi³³	bi⁴⁴
vd3-02	ba³³	ba⁴⁴
vd3-03	bu³³	bu⁴⁴
vd3-04	bo³³	bo⁴⁴
vd3-05	be³³	be⁴⁴
vd3-06	di³³	di⁴⁴
vd3-07	da³³	da⁴⁴
vd3-08	du³³	du⁴⁴
vd3-09	do³³	do⁴⁴
vd3-10	de³³	de⁴⁴
vd4-01	bi⁴⁴	bi⁴⁴
vd4-02	ba⁴⁴	ba⁴⁴
vd4-03	bu⁴⁴	bu⁴⁴
vd4-04	bo⁴⁴	bo⁴⁴
vd4-05	be⁴⁴	be⁴⁴
vd4-06	di⁴⁴	di⁴⁴
vd4-07	da⁴⁴	da⁴⁴
vd4-08	du⁴⁴	du⁴⁴
vd4-09	do⁴⁴	do⁴⁴
vd4-10	de⁴⁴	de⁴⁴
