cognate_id	lect_id	segments
foot	gmc	f o t s
foot	pie	p o d s
father	gmc	f a θ e r
father	pie	p a t e r
fish	gmc	f i s k
fish	pie	p i s k
full	gmc	f u l n a s
full	pie	p l e n o s
for	gmc	f e r
for	pie	p e r
three	gmc	θ r i y i s
three	pie	t r e y e s
thou	gmc	θ u
thou	pie	t u
thin	gmc	θ u n n u s
thin	pie	t e n u s
that	gmc	θ a t
that	pie	t o d
heart	gmc	x e r t
heart	pie	k e r d
hundred	gmc	x u n t a m
hundred	pie	k m t o m
horn	gmc	x u r n
horn	pie	k e r n
hound	gmc	x u n t
hound	pie	k w o n
deep	gmc	t e u p a s
deep	pie	d u b n o s
ten	gmc	t e x u n
ten	pie	d e k m
two	gmc	t w o
two	pie	d w o
tooth	gmc	t a n θ s
tooth	pie	d o n t s
knee	gmc	k n e w a
knee	pie	g e n u
corn	gmc	k u r n a m
corn	pie	g r n o m
cold	gmc	k a l t
cold	pie	g e l
brother	gmc	b r o θ e r
brother	pie	bʰ r a t e r
bear	gmc	b e r
bear	pie	bʰ e r
be	gmc	b u
be	pie	bʰ u
do	gmc	d o
do	pie	dʰ e
door	gmc	d u r
door	pie	dʰ w e r
daughter	gmc	d o x t e r
daughter	pie	dʰ u g t e r
guest	gmc	g a s t i s
guest	pie	gʰ o s t i s
goose	gmc	g a n s
goose	pie	gʰ a n s
garden	gmc	g a r d a s
garden	pie	gʰ o r t o s
