cognate_id	lect_id	segments
w00	proto	k a e p e
w00	daughter	k a e p e
w01	proto	k a o p i
w01	daughter	k a o p i
w02	proto	k a i p o
w02	daughter	k a i f o
w03	proto	k a n p u
w03	daughter	k a n p u
w04	proto	k e r p a
w04	daughter	k e r f a
w05	proto	k e o p i
w05	daughter	k e o p i
w06	proto	k e i p o
w06	daughter	k e i f o
w07	proto	k e n p u
w07	daughter	k e n p u
w08	proto	k i r p a
w08	daughter	k i r f a
w09	proto	k i e p e
w09	daughter	k i e p e
w10	proto	k i i p o
w10	daughter	k i i f o
w11	proto	k i n p u
w11	daughter	k i n p u
w12	proto	k o r p a
w12	daughter	k o r f a
w13	proto	k o e p e
w13	daughter	k o e p e
w14	proto	k o o p i
w14	daughter	k o o p i
w15	proto	k o n p u
w15	daughter	k o n p u
w16	proto	k u r p a
w16	daughter	k u r f a
w17	proto	k u e p e
w17	daughter	k u e p e
w18	proto	k u o p i
w18	daughter	k u o p i
w19	proto	k u i p o
w19	daughter	k u i f o
w20	proto	t a k p e
w20	daughter	t a k f e
w21	proto	t a s p i
w21	daughter	t a s p i
w22	proto	t a a p o
w22	daughter	t a a p o
w23	proto	t a u p u
w23	daughter	t a u f u
w24	proto	t e l p a
w24	daughter	t e l p a
w25	proto	t e s p i
w25	daughter	t e s p i
w26	proto	t e a p o
w26	daughter	t e a p o
w27	proto	t e u p u
w27	daughter	t e u f u
w28	proto	t i l p a
w28	daughter	t i l p a
w29	proto	t i k p e
w29	daughter	t i k f e
w30	proto	t i a p o
w30	daughter	t i a p o
w31	proto	t i u p u
w31	daughter	t i u f u
w32	proto	t o l p a
w32	daughter	t o l p a
w33	proto	t o k p e
w33	daughter	t o k f e
w34	proto	t o s p i
w34	daughter	t o s p i
w35	proto	t o u p u
w35	daughter	t o u f u
w36	proto	t u l p a
w36	daughter	t u l p a
w37	proto	t u k p e
w37	daughter	t u k f e
w38	proto	t u s p i
w38	daughter	t u s p i
w39	proto	t u a p o
w39	daughter	t u a p o
