cognate_id	lect_id	segments
time	middle_english	t iː m ə
time	modern_english	t a ɪ m
mine	middle_english	m iː n
mine	modern_english	m a ɪ n
wife	middle_english	w iː f
wife	modern_english	w a ɪ f
ride	middle_english	r iː d ə
ride	modern_english	r a ɪ d
five	middle_english	f iː v ə
five	modern_english	f a ɪ v
life	middle_english	l iː f
life	modern_english	l a ɪ f
wide	middle_english	w iː d ə
wide	modern_english	w a ɪ d
child	middle_english	tʃ iː l d
child	modern_english	tʃ a ɪ l d
see	middle_english	s eː
see	modern_english	s iː
feet	middle_english	f eː t
feet	modern_english	f iː t
green	middle_english	g r eː n ə
green	modern_english	g r iː n
deep	middle_english	d eː p
deep	modern_english	d iː p
sweet	middle_english	s w eː t ə
sweet	modern_english	s w iː t
queen	middle_english	k w eː n ə
queen	modern_english	k w iː n
keep	middle_english	k eː p ə
keep	modern_english	k iː p
tree	middle_english	t r eː
tree	modern_english	t r iː
name	middle_english	n aː m ə
name	modern_english	n e ɪ m
make	middle_english	m aː k ə
make	modern_english	m e ɪ k
take	middle_english	t aː k ə
take	modern_english	t e ɪ k
lake	middle_english	l aː k ə
lake	modern_english	l e ɪ k
bake	middle_english	b aː k ə
bake	modern_english	b e ɪ k
tale	middle_english	t aː l ə
tale	modern_english	t e ɪ l
whale	middle_english	h w aː l ə
whale	modern_english	w e ɪ l
moon	middle_english	m oː n ə
moon	modern_english	m uː n
food	middle_english	f oː d ə
food	modern_english	f uː d
root	middle_english	r oː t ə
root	modern_english	r uː t
goose	middle_english	g oː s
goose	modern_english	g uː s
tooth	middle_english	t oː θ
tooth	modern_english	t uː θ
soon	middle_english	s oː n ə
soon	modern_english	s uː n
doom	middle_english	d oː m
doom	modern_english	d uː m
house	middle_english	h uː s
house	modern_english	h a ʊ s
mouse	middle_english	m uː s
mouse	modern_english	m a ʊ s
out	middle_english	uː t
out	modern_english	a ʊ t
now	middle_english	n uː
now	modern_english	n a ʊ
cow	middle_english	k uː
cow	modern_english	k a ʊ
loud	middle_english	l uː d ə
loud	modern_english	l a ʊ d
town	middle_english	t uː n
town	modern_english	t a ʊ n
south	middle_english	s uː θ
south	modern_english	s a ʊ θ
