cognate_id	lect_id	segments
day	citation	t a: k
day	stem	t a: g e
wheel	citation	r a: t
wheel	stem	r a: d e s
thief	citation	d i: p
thief	stem	d i: b e
child	citation	k ɪ n t
child	stem	k ɪ n d e r
country	citation	l a n t
country	stem	l ɛ n d e r
mountain	citation	b ɛ r k
mountain	stem	b ɛ r g e
song	citation	l i: t
song	stem	l i: d e r
house	citation	h a ʊ s
house	stem	h ɔ y z e r
word	citation	v ɔ r t
word	stem	v ɔ r t e
blood	citation	b l u: t
blood	stem	b l u: t e s
hand	citation	h a n t
hand	stem	h ɛ n d e
friend	citation	f r ɔ y n t
friend	stem	f r ɔ y n d e
foot	citation	f u: s
foot	stem	f y: s e
book	citation	b u: x
book	stem	b y: x e r
roof	citation	d a x
roof	stem	d ɛ x e r
light	citation	l ɪ x t
light	stem	l ɪ x t e r
seat	citation	z ɪ t s
seat	stem	z ɪ t s e
night	citation	n a x t
night	stem	n ɛ x t e
