cognate_id	lect_id	segments
guest-i	gothic	g a s t i
guest-i	ohg	g e s t i
guest-i	oe	g e s t
guest-a	gothic	g a s t a
guest-a	ohg	g a s t a
guest-a	oe	g a s t
band-i	gothic	b a n d i
band-i	ohg	b e n d i
band-i	oe	b e n d
band-a	gothic	b a n d a
band-a	ohg	b a n d a
band-a	oe	b a n d
craft-i	gothic	k r a f t i
craft-i	ohg	k r e f t i
craft-i	oe	k r e f t
craft-a	gothic	k r a f t a
craft-a	ohg	k r a f t a
craft-a	oe	k r a f t
night-i	gothic	n a x t i
night-i	ohg	n e x t i
night-i	oe	n e x t
night-a	gothic	n a x t a
night-a	ohg	n a x t a
night-a	oe	n a x t
lamb-i	gothic	l a m b i
lamb-i	ohg	l e m b i
lamb-i	oe	l e m b
lamb-a	gothic	l a m b a
lamb-a	ohg	l a m b a
lamb-a	oe	l a m b
mouse-i	gothic	m uː s i
mouse-i	ohg	m yː s i
mouse-i	oe	m yː s
mouse-a	gothic	m uː s a
mouse-a	ohg	m uː s a
mouse-a	oe	m uː s
louse-i	gothic	l uː s i
louse-i	ohg	l yː s i
louse-i	oe	l yː s
louse-a	gothic	l uː s a
louse-a	ohg	l uː s a
louse-a	oe	l uː s
hide-i	gothic	h uː d i
hide-i	ohg	h yː d i
hide-i	oe	h yː d
hide-a	gothic	h uː d a
hide-a	ohg	h uː d a
hide-a	oe	h uː d
burg-i	gothic	b u r g i
burg-i	ohg	b y r g i
burg-i	oe	b y r g
burg-a	gothic	b u r g a
burg-a	ohg	b u r g a
burg-a	oe	b u r g
kin-i	gothic	k u n i
kin-i	ohg	k y n i
kin-i	oe	k y n
kin-a	gothic	k u n a
kin-a	ohg	k u n a
kin-a	oe	k u n
foot-i	gothic	f oː t i
foot-i	ohg	f øː t i
foot-i	oe	f øː t
foot-a	gothic	f oː t a
foot-a	ohg	f oː t a
foot-a	oe	f oː t
goose-i	gothic	g oː s i
goose-i	ohg	g øː s i
goose-i	oe	g øː s
goose-a	gothic	g oː s a
goose-a	ohg	g oː s a
goose-a	oe	g oː s
tooth-i	gothic	t oː θ i
tooth-i	ohg	t øː θ i
tooth-i	oe	t øː θ
tooth-a	gothic	t oː θ a
tooth-a	ohg	t oː θ a
tooth-a	oe	t oː θ
book-i	gothic	b oː k i
book-i	ohg	b øː k i
book-i	oe	b øː k
book-a	gothic	b oː k a
book-a	ohg	b oː k a
book-a	oe	b oː k
hand-i	gothic	h a n d i
hand-i	ohg	h e n d i
hand-i	oe	h e n d
hand-a	gothic	h a n d a
hand-a	ohg	h a n d a
hand-a	oe	h a n d
man-i	gothic	m a n i
man-i	ohg	m e n i
man-i	oe	m e n
man-a	gothic	m a n a
man-a	ohg	m a n a
man-a	oe	m a n
land-i	gothic	l a n d i
land-i	ohg	l e n d i
land-i	oe	l e n d
land-a	gothic	l a n d a
land-a	ohg	l a n d a
land-a	oe	l a n d
comb-i	gothic	k a m b i
comb-i	ohg	k e m b i
comb-i	oe	k e m b
comb-a	gothic	k a m b a
comb-a	ohg	k a m b a
comb-a	oe	k a m b
long-i	gothic	l a n g i
long-i	ohg	l e n g i
long-i	oe	l e n g
long-a	gothic	l a n g a
long-a	ohg	l a n g a
long-a	oe	l a n g
strong-i	gothic	s t r a n g i
strong-i	ohg	s t r e n g i
strong-i	oe	s t r e n g
strong-a	gothic	s t r a n g a
strong-a	ohg	s t r a n g a
strong-a	oe	s t r a n g
neck-i	gothic	h a l s i
neck-i	ohg	h e l s i
neck-i	oe	h e l s
neck-a	gothic	h a l s a
neck-a	ohg	h a l s a
neck-a	oe	h a l s
cold-i	gothic	k a l d i
cold-i	ohg	k e l d i
cold-i	oe	k e l d
cold-a	gothic	k a l d a
cold-a	ohg	k a l d a
cold-a	oe	k a l d
arm-i	gothic	a r m i
arm-i	ohg	e r m i
arm-i	oe	e r m
arm-a	gothic	a r m a
arm-a	ohg	a r m a
arm-a	oe	a r m
song-i	gothic	s a n g i
song-i	ohg	s e n g i
song-i	oe	s e n g
song-a	gothic	s a n g a
song-a	ohg	s a n g a
song-a	oe	s a n g
