cognate_id	lect_id	segments
w00	proto	k a p e p
w00	daughter	k a p e f
w01	proto	k a p i p
w01	daughter	k a p i f
w02	proto	k a p o p
w02	daughter	k a p o f
w03	proto	k a p u p
w03	daughter	k a p u f
w04	proto	k e p a p
w04	daughter	k e p a f
w05	proto	k e p i p
w05	daughter	k e p i f
w06	proto	k e p o p
w06	daughter	k e p o f
w07	proto	k e p u p
w07	daughter	k e p u f
w08	proto	k i p a p
w08	daughter	k i p a f
w09	proto	k i p e p
w09	daughter	k i p e f
w10	proto	k i p o p
w10	daughter	k i p o f
w11	proto	k i p u p
w11	daughter	k i p u f
w12	proto	k o p a p
w12	daughter	k o p a f
w13	proto	k o p e p
w13	daughter	k o p e f
w14	proto	k o p i p
w14	daughter	k o p i f
w15	proto	k o p u p
w15	daughter	k o p u f
w16	proto	k u p a p
w16	daughter	k u p a f
w17	proto	k u p e p
w17	daughter	k u p e f
w18	proto	k u p i p
w18	daughter	k u p i f
w19	proto	k u p o p
w19	daughter	k u p o f
w20	proto	t a p e p
w20	daughter	t a p e f
w21	proto	t a p i p
w21	daughter	t a p i f
w22	proto	t a p o p
w22	daughter	t a p o f
w23	proto	t a p u p
w23	daughter	t a p u f
w24	proto	t e p a p
w24	daughter	t e p a f
w25	proto	t e p i p
w25	daughter	t e p i f
w26	proto	t e p o p
w26	daughter	t e p o f
w27	proto	t e p u p
w27	daughter	t e p u f
w28	proto	t i p a p
w28	daughter	t i p a f
w29	proto	t i p e p
w29	daughter	t i p e f
w30	proto	t i p o p
w30	daughter	t i p o f
w31	proto	t i p u p
w31	daughter	t i p u f
w32	proto	t o p a p
w32	daughter	t o p a f
w33	proto	t o p e p
w33	daughter	t o p e f
w34	proto	t o p i p
w34	daughter	t o p i f
w35	proto	t o p u p
w35	daughter	t o p u f
w36	proto	t u p a p
w36	daughter	t u p a f
w37	proto	t u p e p
w37	daughter	t u p e f
w38	proto	t u p i p
w38	daughter	t u p i f
w39	proto	t u p o p
w39	daughter	t u p o f
