gloss	swahili	zulu	swahili_breaks	zulu_breaks
person	mtu	umuntu	1	3
mouth	mdomo	umlomo	1	2
tree	mti	umutʰi	1	3
water	madʒi	amanzi	2	3
rain	mvua	imvula	1	2
eye	dʒitʃo	iliso	2	3
tooth	dʒino	iziɲo	2	3
tongue	ulimi	ulwimi	1	3
seed	mbeɡu	imbewu	1	2
dog	mbwa	indʒa	1	2
meat	ɲama	iɲama	-	1
snake	ɲoka	iɲoka	-	1
stone	dʒiwe	itʃe	2	1
sky	dʒuː	izulu	-	2
heart	mojo	umoja	1	2
ten	kumi	iʃumi	-	1
two	mbili	mbili	-	-
three	tatu	tʰatʰu	-	-
four	nne	ne	-	-
five	tano	ɬanu	-	-
mother	mama	umama	-	1
father	baba	uɓaɓa	-	1
chest	kifua	isifuɓa	2	3
year	mwaka	uɲaka	1	1
path	ndʒia	indlela	-	2
eat	la	ɗla	-	-
die	fa	fa	-	-
see	ona	ɓona	-	-
know	dʒua	azi	-	-
give	pa	pʰa	-	-
