corpus                                              cond  ident   frag  xdim   dens   conj
testdata/soundlaws/compensatory_lengthening.tsv        2   0.00   1.00     0    n/a   1.00
testdata/soundlaws/conditioned_confound.tsv            2   0.50   1.00     0    n/a   1.00
testdata/soundlaws/final_devoicing.tsv                 2   0.00   1.00     0    n/a   1.00
testdata/soundlaws/graded_0_unconditioned.tsv          0    n/a   1.00     0    n/a    n/a
testdata/soundlaws/graded_1_adjacent.tsv               2   0.50   1.00     0    n/a   1.50
testdata/soundlaws/graded_2_position.tsv               2   0.50   1.00     0    n/a   1.00
testdata/soundlaws/graded_3_stress.tsv                 1   0.00   1.00     0    n/a   1.00
testdata/soundlaws/graded_4_conjunction.tsv            3   0.67   1.00     0    n/a   1.33
testdata/soundlaws/graded_5_distance_two.tsv           1   0.00   1.00     0    n/a   1.00
testdata/soundlaws/graded_6_existential.tsv            1   0.00   1.00     0    n/a   1.00
testdata/soundlaws/graded_7_disjunction.tsv            4   0.00   1.00     0    n/a   1.00
testdata/soundlaws/graded_8_weight.tsv                 1   0.00   1.00     0    n/a   1.00
testdata/soundlaws/graded_9_lost_trigger.tsv           2   0.50   1.00     0    n/a   1.50
testdata/soundlaws/grassmann.tsv                       2   0.00   1.00     0    n/a   1.50
testdata/soundlaws/great_vowel_shift.tsv               0    n/a   1.00     0    n/a    n/a
testdata/soundlaws/grimm.tsv                           1   1.00   1.00     0    n/a   1.00
testdata/soundlaws/lenition.tsv                        3   0.00   1.00     0    n/a   1.00
testdata/soundlaws/metathesis_adjacent.tsv             0    n/a   1.00     0    n/a    n/a
testdata/soundlaws/metathesis_distant.tsv              0    n/a   1.00     0    n/a    n/a
testdata/soundlaws/morphological_rhotacism.tsv         4   0.75   1.00     0    n/a   1.50
testdata/soundlaws/natural_class.tsv                   8   0.50   1.00     0    n/a   1.00
testdata/soundlaws/natural_class_control.tsv           2   0.50   1.00     0    n/a   1.00
testdata/soundlaws/opaque_umlaut.tsv                   3   0.67   1.00     0    n/a   1.67
testdata/soundlaws/place_assimilation.tsv              2   0.50   1.00     0    n/a   1.00
testdata/soundlaws/place_dissimilation.tsv             2   0.50   1.00     0    n/a   1.50
testdata/soundlaws/rhotacism.tsv                       3   0.67   1.00     0    n/a   1.67
testdata/soundlaws/rhotacism_reordered.tsv             3   0.67   1.00     0    n/a   1.67
testdata/soundlaws/rounding_harmony.tsv                1   0.00   1.00     0    n/a   1.00
testdata/soundlaws/verner.tsv                          4   0.50   1.00     0    n/a   1.25
testdata/restraint/arity_2.tsv                         3   0.33   1.00     0    n/a   1.33
testdata/restraint/arity_3.tsv                         7   0.57   0.63     0    n/a   1.43
testdata/restraint/arity_4.tsv                         7   0.71   0.46     0    n/a   1.29
testdata/restraint/arity_5.tsv                         0    n/a   0.34     0    n/a    n/a
testdata/restraint/chance.tsv                          0    n/a   1.00     0    n/a    n/a
testdata/restraint/contact.tsv                         0    n/a   1.00     0    n/a    n/a
testdata/restraint/diffusion.tsv                       0    n/a   1.00     0    n/a    n/a
testdata/restraint/distant_003.tsv                     0    n/a   1.00     0    n/a    n/a
testdata/restraint/distant_004.tsv                     0    n/a   1.00     0    n/a    n/a
testdata/restraint/distant_005.tsv                     1   0.00   1.00     0    n/a   1.00
testdata/restraint/distant_008.tsv                     1   0.00   1.00     0    n/a   1.00
testdata/restraint/merger_gap.tsv                      1   0.00   1.00     0    n/a   1.00
testdata/restraint/noise_unconditioned.tsv             6   0.00   1.00     0    n/a   1.00
