gloss	latin	french	latin_breaks	french_breaks
father	pater	pɛʁ	-	-
mother	mater	mɛʁ	-	-
brother	frater	fʁɛʁ	-	-
sister	soror	sœʁ	-	-
son	filiu	fis	-	-
daughter	filia	fiʝ	-	-
head	kaput	ʃɛf	-	-
eye	okulu	œj	-	-
ear	auris	ɔʁɛj	-	-
nose	nasu	ne	-	-
mouth	bukka	buʃ	-	-
tongue	lingua	lɑ̃ɡ	-	-
tooth	dentem	dɑ̃	-	-
neck	kollu	ku	-	-
hand	manu	mɛ̃	-	-
foot	pede	pje	-	-
heart	kor	kœʁ	-	-
blood	sanguine	sɑ̃	-	-
bone	ossu	o	-	-
skin	pelle	po	-	-
hair	kapillu	ʃəvø	-	-
milk	lakte	lɛ	-	-
night	nokte	nɥi	-	-
day	dje	ʒuʁ	-	-
sun	sole	sɔlɛj	-	-
moon	luna	lyn	-	-
star	stella	etwal	-	-
water	aqua	o	-	-
fire	fokus	fø	-	-
earth	terra	tɛʁ	-	-
stone	petra	pjɛʁ	-	-
wood	lignu	bwa	-	-
leaf	folia	fœj	-	-
tree	arbor	aʁbʁ	-	-
flower	flore	flœʁ	-	-
fruit	fruktu	fʁɥi	-	-
seed	semen	ɡʁɛn	-	-
wind	ventu	vɑ̃	-	-
rain	pluvia	plɥi	-	-
sky	kaelu	sjɛl	-	-
dog	kane	ʃjɛ̃	-	-
cat	kattu	ʃa	-	-
horse	kaballu	ʃəval	-	-
cow	vakka	vaʃ	-	-
bird	avis	wazo	-	-
fish	pisce	pwasɔ̃	-	-
snake	serpente	sɛʁpɑ̃	-	-
mouse	mure	suʁi	-	-
wolf	lupu	lu	-	-
bear	ursu	uʁs	-	-
man	omo	ɔm	-	-
woman	femina	fam	-	-
king	rege	ʁwa	-	-
year	annu	ɑ̃	-	-
month	mense	mwa	-	-
name	nomen	nɔm	-	-
three	tres	tʁwa	-	-
four	kwattuor	katʁ	-	-
five	kinkwe	sɛ̃k	-	-
six	seks	sis	-	-
seven	septem	sɛt	-	-
eight	okto	ɥit	-	-
nine	novem	nœf	-	-
ten	decem	dis	-	-
good	bonu	bɔ̃	-	-
bad	malu	mal	-	-
new	novu	nœf	-	-
old	vetulu	vjø	-	-
big	grande	ɡʁɑ̃	-	-
small	parvu	pəti	-	-
long	longu	lɔ̃	-	-
short	kurtu	kuʁ	-	-
white	blanku	blɑ̃	-	-
black	nigru	nwaʁ	-	-
red	rubju	ʁuʒ	-	-
green	viride	vɛʁ	-	-
cold	frigidu	fʁwa	-	-
hot	kalidu	ʃo	-	-
see	videre	vwaʁ	3	-
hear	audire	ɑ̃tɑ̃dʁ	3	-
eat	komedere	mɑ̃ʒe	5	-
drink	bibere	bwaʁ	3	-
speak	parabolare	paʁle	7	-
know	sapere	savwaʁ	3	-
come	venire	vəniʁ	3	-
go	ire	ale	-	-
give	dare	dɔne	-	-
take	prendere	pʁɑ̃dʁ	5	-
say	dikere	diʁ	3	-
make	fakere	fɛʁ	3	-
sleep	dormire	dɔʁmiʁ	4	-
die	morire	muʁiʁ	3	-
live	vivere	vivʁ	3	-
love	amare	ɛme	2	-
break	frangere	kase	5	-
walk	ambulare	maʁʃe	5	-
