gloss	arabic	hebrew	arabic_breaks	hebrew_breaks
hand	jad	jad	-	-
eye	ʕajn	ʕajin	-	-
head	raʔs	roʃ	-	-
father	ʔab	ʔav	-	-
mother	ʔum	ʔem	-	-
son	ibn	ben	-	-
daughter	bint	bat	-	-
brother	ʔaχ	ʔaħ	-	-
sister	ʔuχt	ʔaħot	-	-
house	bajt	bajit	-	-
water	maːʔ	majim	-	-
fire	naːr	ner	-	-
earth	ʔardˤ	ʔeretsˤ	-	-
heaven	samaːʔ	ʃamajim	-	-
sun	ʃams	ʃemeʃ	-	-
day	jawm	jom	-	-
night	lajla	lajila	-	-
name	ism	ʃem	-	-
king	malik	meleχ	-	-
peace	salaːm	ʃalom	-	-
dog	kalb	kelev	-	-
blood	dam	dam	-	-
bone	ʕadˤm	ʕetsˤem	-	-
tooth	sinn	ʃen	-	-
tongue	lisaːn	laʃon	-	-
one	waːħid	ʔeħad	-	-
two	iθnaːn	ʃnajim	-	-
three	θalaːθa	ʃaloʃ	-	-
seven	sabʕa	ʃevaʕ	-	-
ten	ʕaʃara	ʕeser	-	-
write	kataba	katav	-	-
eat	ʔakala	ʔaχal	-	-
