gloss	standard	ekiti
head	ori⁵⁵	ori³³
eye	oju³³	oju¹¹
nose	imu⁵⁵	imu³³
mouth	enu³³	enu¹¹
tongue	ahon³³	ahon¹¹
tooth	ehin³³	ehin¹¹
ear	eti³³	eti¹¹
hair	irun³³	irun¹¹
neck	orun³³	orun¹¹
arm	apa⁵⁵	apa³³
hand	owo⁵⁵	owo³³
finger	ika⁵⁵	ika³³
leg	ese⁵⁵	ese³³
foot	ese⁵⁵	ese³³
back	ehin⁵⁵	ehin³³
chest	aya³³	aya¹¹
belly	inu³³	inu¹¹
heart	okan⁵⁵	okan³³
blood	eje⁵⁵	eje³³
bone	egungun³³	egungun¹¹
skin	awo³³	awo¹¹
water	omi³³	omi¹¹
fire	ina³³	ina¹¹
sun	oorun³³	oorun¹¹
moon	osupa⁵⁵	osupa³³
star	irawo⁵⁵	irawo³³
sky	orun⁵⁵	orun³³
earth	ile⁵⁵	ile³³
stone	okuta⁵⁵	okuta³³
road	ona⁵⁵	ona³³
house	ile³³	ile¹¹
man	okunrin⁵⁵	okunrin³³
woman	obinrin⁵⁵	obinrin³³
child	omo³³	omo¹¹
mother	iya³³	iya¹¹
father	baba³³	baba¹¹
friend	ore⁵⁵	ore³³
dog	aja³³	aja¹¹
cat	ologbo³³	ologbo¹¹
horse	esin³³	esin¹¹
cow	malu⁵⁵	malu³³
bird	eye⁵⁵	eye³³
fish	eja³³	eja¹¹
snake	ejo⁵⁵	ejo³³
rat	eku⁵⁵	eku³³
tree	igi³³	igi¹¹
leaf	ewe⁵⁵	ewe³³
fruit	eso³³	eso¹¹
seed	irugbin⁵⁵	irugbin³³
grass	koriko⁵⁵	koriko³³
salt	iyo⁵⁵	iyo³³
oil	epo⁵⁵	epo³³
food	ounje⁵⁵	ounje³³
rice	iresi⁵⁵	iresi³³
yam	isu³³	isu¹¹
corn	agbado⁵⁵	agbado³³
one	eni⁵⁵	eni³³
two	eji⁵⁵	eji³³
three	eta⁵⁵	eta³³
four	erin⁵⁵	erin³³
five	arun⁵⁵	arun³³
six	efa⁵⁵	efa³³
seven	eje⁵⁵	eje³³
day	ojo³³	ojo¹¹
night	oru⁵⁵	oru³³
year	odun⁵⁵	odun³³
name	oruko⁵⁵	oruko³³
word	oro⁵⁵	oro³³
go	lo³³	lo¹¹
come	wa³³	wa¹¹
eat	je³³	je¹¹
drink	mu³³	mu¹¹
see	ri³³	ri¹¹
hear	gbo³³	gbo¹¹
speak	soro³³	soro¹¹
sleep	sun³³	sun¹¹
sit	joko⁵⁵	joko³³
stand	duro⁵⁵	duro³³
walk	rin³³	rin¹¹
run	sare⁵⁵	sare³³
die	ku³³	ku¹¹
live	gbe³³	gbe¹¹
give	fun³³	fun¹¹
take	gba³³	gba¹¹
