gloss	turkish	azerbaijani	turkish_breaks	azerbaijani_breaks
two	iki	iki	-	-
three	ytʃ	ytʃ	-	-
four	dørt	dørd	-	-
five	beʃ	beʃ	-	-
six	altɯ	altɯ	-	-
seven	jedi	jeddi	-	-
eight	sekiz	səkkiz	-	-
nine	dokuz	doɡɡuz	-	-
eye	ɟøz	ɟøz	-	-
ear	kulak	ɡulaχ	-	-
tooth	diʃ	diʃ	-	-
tongue	dil	dil	-	-
head	baʃ	baʃ	-	-
hand	el	əl	-	-
arm	kol	ɡol	-	-
foot	ajak	ajaχ	-	-
blood	kan	ɡan	-	-
name	ad	ad	-	-
stone	taʃ	daʃ	-	-
mountain	daː	daɣ	-	-
lake	ɟøl	ɟøl	-	-
snow	kar	ɡar	-	-
sun	ɟyn	ɟyn	-	-
fire	od	od	-	-
horse	at	at	-	-
dog	køpec	køpək	-	-
fish	balɯk	balɯχ	-	-
house	ev	ev	-	-
road	jol	jol	-	-
white	ak	aɣ	-	-
black	kara	ɡara	-	-
big	byjyc	bøjyc	-	-
new	jeni	jeni	-	-
come	ɟelmec	ɟælmæc	3	3
go	ɟitmec	ɟetmæc	3	3
eat	jemec	jemæc	2	2
drink	itʃmec	itʃmæc	2	2
see	ɟørmec	ɟørmæc	3	3
know	bilmec	bilmæc	3	3
die	ølmec	ølmæc	2	2
give	vermec	vermæc	3	3
