cognate_id	lect_id	segments	tone	etymon_group
t01	src	b a	- -	t01
t01	tgt	b a	- 1	t01
t02	src	b a	- -	t02
t02	tgt	b a	- 1	t02
t03	src	b a	- -	t03
t03	tgt	b a	- 1	t03
t04	src	b a	- -	t04
t04	tgt	b a	- 1	t04
t05	src	b a	- -	t05
t05	tgt	b a	- 1	t05
t06	src	b a	- -	t06
t06	tgt	b a	- 1	t06
t07	src	b a	- -	t07
t07	tgt	b a	- 1	t07
t08	src	b a	- -	t08
t08	tgt	b a	- 1	t08
t09	src	b a	- -	t09
t09	tgt	b a	- 1	t09
t10	src	b a	- -	t10
t10	tgt	b a	- 1	t10
t11	src	b a	- -	t11
t11	tgt	b a	- 1	t11
t12	src	b a	- -	t12
t12	tgt	b a	- 1	t12
t13	src	b a	- -	t13
t13	tgt	b a	- 1	t13
t14	src	b a	- -	t14
t14	tgt	b a	- 1	t14
t15	src	b a	- -	t15
t15	tgt	b a	- 1	t15
t16	src	b a	- -	t16
t16	tgt	b a	- 1	t16
t17	src	b a	- -	t17
t17	tgt	b a	- 1	t17
t18	src	b a	- -	t18
t18	tgt	b a	- 1	t18
t19	src	b a	- -	t19
t19	tgt	b a	- 1	t19
t20	src	b a	- -	t20
t20	tgt	b a	- 1	t20
t21	src	p a	- -	t21
t21	tgt	p a	- 2	t21
t22	src	p a	- -	t22
t22	tgt	p a	- 2	t22
t23	src	p a	- -	t23
t23	tgt	p a	- 2	t23
t24	src	p a	- -	t24
t24	tgt	p a	- 2	t24
t25	src	p a	- -	t25
t25	tgt	p a	- 2	t25
t26	src	p a	- -	t26
t26	tgt	p a	- 2	t26
t27	src	p a	- -	t27
t27	tgt	p a	- 2	t27
t28	src	p a	- -	t28
t28	tgt	p a	- 2	t28
t29	src	p a	- -	t29
t29	tgt	p a	- 2	t29
t30	src	p a	- -	t30
t30	tgt	p a	- 2	t30
t31	src	p a	- -	t31
t31	tgt	p a	- 2	t31
t32	src	p a	- -	t32
t32	tgt	p a	- 2	t32
t33	src	p a	- -	t33
t33	tgt	p a	- 2	t33
t34	src	p a	- -	t34
t34	tgt	p a	- 2	t34
t35	src	p a	- -	t35
t35	tgt	p a	- 2	t35
t36	src	p a	- -	t36
t36	tgt	p a	- 2	t36
t37	src	p a	- -	t37
t37	tgt	p a	- 2	t37
t38	src	p a	- -	t38
t38	tgt	p a	- 2	t38
t39	src	p a	- -	t39
t39	tgt	p a	- 2	t39
t40	src	p a	- -	t40
t40	tgt	p a	- 2	t40
