cognate_id	lect_id	segments	etymon_group
e01_1	A	a p a	e01
e01_1	B	a f a	e01
e01_2	A	i p i	e01
e01_2	B	i f i	e01
e02_1	A	a p a	e02
e02_1	B	a f a	e02
e02_2	A	i p i	e02
e02_2	B	i f i	e02
e03_1	A	a p a	e03
e03_1	B	a f a	e03
e03_2	A	i p i	e03
e03_2	B	i f i	e03
e04_1	A	a p a	e04
e04_1	B	a f a	e04
e04_2	A	i p i	e04
e04_2	B	i f i	e04
e05_1	A	a p a	e05
e05_1	B	a f a	e05
e05_2	A	i p i	e05
e05_2	B	i f i	e05
e06_1	A	a p a	e06
e06_1	B	a f a	e06
e06_2	A	i p i	e06
e06_2	B	i f i	e06
e07_1	A	a p a	e07
e07_1	B	a f a	e07
e07_2	A	i p i	e07
e07_2	B	i f i	e07
e08_1	A	a p a	e08
e08_1	B	a f a	e08
e08_2	A	i p i	e08
e08_2	B	i f i	e08
e09_1	A	a p a	e09
e09_1	B	a f a	e09
e09_2	A	i p i	e09
e09_2	B	i f i	e09
e10_1	A	a p a	e10
e10_1	B	a f a	e10
e10_2	A	i p i	e10
e10_2	B	i f i	e10
e11_1	A	a p a	e11
e11_1	B	a f a	e11
e11_2	A	i p i	e11
e11_2	B	i f i	e11
e12_1	A	a p a	e12
e12_1	B	a f a	e12
e12_2	A	i p i	e12
e12_2	B	i f i	e12
e13_1	A	s p a	e13
e13_1	B	s p a	e13
e13_2	A	t p a	e13
e13_2	B	t p a	e13
e14_1	A	s p a	e14
e14_1	B	s p a	e14
e14_2	A	t p a	e14
e14_2	B	t p a	e14
e15_1	A	s p a	e15
e15_1	B	s p a	e15
e15_2	A	t p a	e15
e15_2	B	t p a	e15
e16_1	A	s p a	e16
e16_1	B	s p a	e16
e16_2	A	t p a	e16
e16_2	B	t p a	e16
e17_1	A	s p a	e17
e17_1	B	s p a	e17
e17_2	A	t p a	e17
e17_2	B	t p a	e17
e18_1	A	s p a	e18
e18_1	B	s p a	e18
e18_2	A	t p a	e18
e18_2	B	t p a	e18
e19_1	A	s p a	e19
e19_1	B	s p a	e19
e19_2	A	t p a	e19
e19_2	B	t p a	e19
e20_1	A	s p a	e20
e20_1	B	s p a	e20
e20_2	A	t p a	e20
e20_2	B	t p a	e20
e21_1	A	s p a	e21
e21_1	B	s p a	e21
e21_2	A	t p a	e21
e21_2	B	t p a	e21
e22_1	A	s p a	e22
e22_1	B	s p a	e22
e22_2	A	t p a	e22
e22_2	B	t p a	e22
e23_1	A	s p a	e23
e23_1	B	s p a	e23
e23_2	A	t p a	e23
e23_2	B	t p a	e23
e24_1	A	s p a	e24
e24_1	B	s p a	e24
e24_2	A	t p a	e24
e24_2	B	t p a	e24
e25_1	A	x a	e25
e25_1	B	x a	e25
e25_2	A	x i	e25
e25_2	B	x i	e25
