cognate_id	lect_id	segments
d000	broad	p o p e
d000	narrow	p o p e
d001	broad	l o s o
d001	narrow	l o s o
d002	broad	tʰ o n iː
d002	narrow	t h o n i i
d003	broad	n e kʰ o
d003	narrow	n e k h o
d004	broad	p aː tʰ o
d004	narrow	p a a t h o
d005	broad	m o p a
d005	narrow	m o p a
d006	broad	p a tʰ a
d006	narrow	p a t h a
d007	broad	tʰ a kʰ iː
d007	narrow	t h a k h i i
d008	broad	tʃ iː l a
d008	narrow	t ʃ i i l a
d009	broad	tʃ iː p e
d009	narrow	t ʃ i i p e
d010	broad	tʃ a tʃ a
d010	narrow	t ʃ a t ʃ a
d011	broad	tʃ a kʰ a
d011	narrow	t ʃ a k h a
d012	broad	s iː kʰ a
d012	narrow	s i i k h a
d013	broad	kʰ e p e
d013	narrow	k h e p e
d014	broad	tʃ e tʰ e
d014	narrow	t ʃ e t h e
d015	broad	s a m a
d015	narrow	s a m a
d016	broad	s aː m iː
d016	narrow	s a a m i i
d017	broad	s o tʰ iː
d017	narrow	s o t h i i
d018	broad	l e l iː
d018	narrow	l e l i i
d019	broad	tʃ a s a
d019	narrow	t ʃ a s a
d020	broad	l a tʃ e
d020	narrow	l a t ʃ e
d021	broad	p e n a
d021	narrow	p e n a
d022	broad	m o s aː
d022	narrow	m o s a a
d023	broad	kʰ a m o
d023	narrow	k h a m o
d024	broad	tʃ e tʰ a
d024	narrow	t ʃ e t h a
d025	broad	n a n a
d025	narrow	n a n a
d026	broad	tʃ a l iː
d026	narrow	t ʃ a l i i
d027	broad	m a n aː
d027	narrow	m a n a a
d028	broad	n e tʰ aː
d028	narrow	n e t h a a
d029	broad	tʰ a p o
d029	narrow	t h a p o
d030	broad	tʰ a kʰ iː
d030	narrow	t h a k h i i
d031	broad	s iː kʰ aː
d031	narrow	s i i k h a a
d032	broad	s a tʃ iː
d032	narrow	s a t ʃ i i
d033	broad	n a p e
d033	narrow	n a p e
d034	broad	kʰ a s iː
d034	narrow	k h a s i i
d035	broad	tʰ e s e
d035	narrow	t h e s e
d036	broad	m iː s o
d036	narrow	m i i s o
d037	broad	tʃ o s o
d037	narrow	t ʃ o s o
d038	broad	tʃ aː m aː
d038	narrow	t ʃ a a m a a
d039	broad	tʰ o tʃ e
d039	narrow	t h o t ʃ e
