cognate_id	lect_id	segments	confidence	etymon_group	source_group
w000	ancestor	k p i	1	history-000	synthetic-m2
w000	innovator	k f i	1	history-000	synthetic-m2
w001	ancestor	k p i	1	history-001	synthetic-m2
w001	innovator	k f i	1	history-001	synthetic-m2
w001	conservative	k p i	1	history-001	synthetic-m2
w002	ancestor	k p i	1	history-002	synthetic-m2
w002	innovator	k f i	1	history-002	synthetic-m2
w002	conservative	k p i	1	history-002	synthetic-m2
w003	ancestor	k p i	1	history-003	synthetic-m2
w003	innovator	k f i	1	history-003	synthetic-m2
w003	conservative	k p i	1	history-003	synthetic-m2
w004	ancestor	k p i	1	history-004	synthetic-m2
w004	innovator	k f i	1	history-004	synthetic-m2
w005	ancestor	k p i	1	history-005	synthetic-m2
w005	innovator	k f i	1	history-005	synthetic-m2
w005	conservative	k p i	1	history-005	synthetic-m2
w006	ancestor	k p i	1	history-006	synthetic-m2
w006	innovator	k f i	1	history-006	synthetic-m2
w006	conservative	k p i	1	history-006	synthetic-m2
w007	ancestor	k p i	1	history-007	synthetic-m2
w007	innovator	k f i	1	history-007	synthetic-m2
w007	conservative	k p i	1	history-007	synthetic-m2
w008	ancestor	k p i	1	history-008	synthetic-m2
w008	innovator	k f i	1	history-008	synthetic-m2
w009	ancestor	k p i	1	history-009	synthetic-m2
w009	innovator	k f i	1	history-009	synthetic-m2
w009	conservative	k p i	1	history-009	synthetic-m2
w010	ancestor	k p i	1	history-010	synthetic-m2
w010	innovator	k f i	1	history-010	synthetic-m2
w010	conservative	k p i	1	history-010	synthetic-m2
w011	ancestor	k p i	1	history-011	synthetic-m2
w011	innovator	k f i	1	history-011	synthetic-m2
w011	conservative	k p i	1	history-011	synthetic-m2
w012	ancestor	k p i	1	history-012	synthetic-m2
w012	innovator	k f i	1	history-012	synthetic-m2
w013	ancestor	k p i	1	history-013	synthetic-m2
w013	innovator	k f i	1	history-013	synthetic-m2
w013	conservative	k p i	1	history-013	synthetic-m2
w014	ancestor	k p i	1	history-014	synthetic-m2
w014	innovator	k f i	1	history-014	synthetic-m2
w014	conservative	k p i	1	history-014	synthetic-m2
w015	ancestor	k p i	1	history-015	synthetic-m2
w015	innovator	k f i	1	history-015	synthetic-m2
w015	conservative	k p i	1	history-015	synthetic-m2
w016	ancestor	k p a	1	history-016	synthetic-m2
w016	innovator	k p a	1	history-016	synthetic-m2
w017	ancestor	k p a	1	history-017	synthetic-m2
w017	innovator	k p a	1	history-017	synthetic-m2
w017	conservative	k p a	1	history-017	synthetic-m2
w018	ancestor	k p a	1	history-018	synthetic-m2
w018	innovator	k p a	1	history-018	synthetic-m2
w018	conservative	k p a	1	history-018	synthetic-m2
w019	ancestor	k p a	1	history-019	synthetic-m2
w019	innovator	k p a	1	history-019	synthetic-m2
w019	conservative	k p a	1	history-019	synthetic-m2
w020	ancestor	k p a	1	history-020	synthetic-m2
w020	innovator	k p a	1	history-020	synthetic-m2
w021	ancestor	k p a	1	history-021	synthetic-m2
w021	innovator	k p a	1	history-021	synthetic-m2
w021	conservative	k p a	1	history-021	synthetic-m2
w022	ancestor	k p a	1	history-022	synthetic-m2
w022	innovator	k p a	1	history-022	synthetic-m2
w022	conservative	k p a	1	history-022	synthetic-m2
w023	ancestor	k p a	1	history-023	synthetic-m2
w023	innovator	k p a	1	history-023	synthetic-m2
w023	conservative	k p a	1	history-023	synthetic-m2
w024	ancestor	k p a	1	history-024	synthetic-m2
w024	innovator	k p a	1	history-024	synthetic-m2
w025	ancestor	k p a	1	history-025	synthetic-m2
w025	innovator	k p a	1	history-025	synthetic-m2
w025	conservative	k p a	1	history-025	synthetic-m2
w026	ancestor	k p a	1	history-026	synthetic-m2
w026	innovator	k p a	1	history-026	synthetic-m2
w026	conservative	k p a	1	history-026	synthetic-m2
w027	ancestor	k p a	1	history-027	synthetic-m2
w027	innovator	k p a	1	history-027	synthetic-m2
w027	conservative	k p a	1	history-027	synthetic-m2
w028	ancestor	k p a	1	history-028	synthetic-m2
w028	innovator	k p a	1	history-028	synthetic-m2
w029	ancestor	k p a	1	history-029	synthetic-m2
w029	innovator	k p a	1	history-029	synthetic-m2
w029	conservative	k p a	1	history-029	synthetic-m2
w030	ancestor	k p a	1	history-030	synthetic-m2
w030	innovator	k p a	1	history-030	synthetic-m2
w030	conservative	k p a	1	history-030	synthetic-m2
w031	ancestor	k p a	1	history-031	synthetic-m2
w031	innovator	k p a	1	history-031	synthetic-m2
w031	conservative	k p a	1	history-031	synthetic-m2
