cognate_id	lect_id	segments	confidence	etymon_group	source_group	tone
tone000	ancestor	k a	1	tone000	synthetic-tone	- H
tone000	innovator	g a	1	tone000	synthetic-tone	- H
tone001	ancestor	k a	1	tone001	synthetic-tone	- L
tone001	innovator	k a	1	tone001	synthetic-tone	- L
tone002	ancestor	k a	1	tone002	synthetic-tone	- H
tone002	innovator	g a	1	tone002	synthetic-tone	- H
tone003	ancestor	k a	1	tone003	synthetic-tone	- L
tone003	innovator	k a	1	tone003	synthetic-tone	- L
tone004	ancestor	k a	1	tone004	synthetic-tone	- H
tone004	innovator	g a	1	tone004	synthetic-tone	- H
tone005	ancestor	k a	1	tone005	synthetic-tone	- L
tone005	innovator	k a	1	tone005	synthetic-tone	- L
tone006	ancestor	k a	1	tone006	synthetic-tone	- H
tone006	innovator	g a	1	tone006	synthetic-tone	- H
tone007	ancestor	k a	1	tone007	synthetic-tone	- L
tone007	innovator	k a	1	tone007	synthetic-tone	- L
tone008	ancestor	k a	1	tone008	synthetic-tone	- H
tone008	innovator	g a	1	tone008	synthetic-tone	- H
tone009	ancestor	k a	1	tone009	synthetic-tone	- L
tone009	innovator	k a	1	tone009	synthetic-tone	- L
tone010	ancestor	k a	1	tone010	synthetic-tone	- H
tone010	innovator	g a	1	tone010	synthetic-tone	- H
tone011	ancestor	k a	1	tone011	synthetic-tone	- L
tone011	innovator	k a	1	tone011	synthetic-tone	- L
tone012	ancestor	k a	1	tone012	synthetic-tone	- H
tone012	innovator	g a	1	tone012	synthetic-tone	- H
tone013	ancestor	k a	1	tone013	synthetic-tone	- L
tone013	innovator	k a	1	tone013	synthetic-tone	- L
tone014	ancestor	k a	1	tone014	synthetic-tone	- H
tone014	innovator	g a	1	tone014	synthetic-tone	- H
tone015	ancestor	k a	1	tone015	synthetic-tone	- L
tone015	innovator	k a	1	tone015	synthetic-tone	- L
tone016	ancestor	k a	1	tone016	synthetic-tone	- H
tone016	innovator	g a	1	tone016	synthetic-tone	- H
tone017	ancestor	k a	1	tone017	synthetic-tone	- L
tone017	innovator	k a	1	tone017	synthetic-tone	- L
tone018	ancestor	k a	1	tone018	synthetic-tone	- H
tone018	innovator	g a	1	tone018	synthetic-tone	- H
tone019	ancestor	k a	1	tone019	synthetic-tone	- L
tone019	innovator	k a	1	tone019	synthetic-tone	- L
tone020	ancestor	k a	1	tone020	synthetic-tone	- H
tone020	innovator	g a	1	tone020	synthetic-tone	- H
tone021	ancestor	k a	1	tone021	synthetic-tone	- L
tone021	innovator	k a	1	tone021	synthetic-tone	- L
tone022	ancestor	k a	1	tone022	synthetic-tone	- H
tone022	innovator	g a	1	tone022	synthetic-tone	- H
tone023	ancestor	k a	1	tone023	synthetic-tone	- L
tone023	innovator	k a	1	tone023	synthetic-tone	- L
tone024	ancestor	k a	1	tone024	synthetic-tone	- H
tone024	innovator	g a	1	tone024	synthetic-tone	- H
tone025	ancestor	k a	1	tone025	synthetic-tone	- L
tone025	innovator	k a	1	tone025	synthetic-tone	- L
tone026	ancestor	k a	1	tone026	synthetic-tone	- H
tone026	innovator	g a	1	tone026	synthetic-tone	- H
tone027	ancestor	k a	1	tone027	synthetic-tone	- L
tone027	innovator	k a	1	tone027	synthetic-tone	- L
tone028	ancestor	k a	1	tone028	synthetic-tone	- H
tone028	innovator	g a	1	tone028	synthetic-tone	- H
tone029	ancestor	k a	1	tone029	synthetic-tone	- L
tone029	innovator	k a	1	tone029	synthetic-tone	- L
tone030	ancestor	k a	1	tone030	synthetic-tone	- H
tone030	innovator	g a	1	tone030	synthetic-tone	- H
tone031	ancestor	k a	1	tone031	synthetic-tone	- L
tone031	innovator	k a	1	tone031	synthetic-tone	- L
