cognate_id	lect_id	segments	confidence	etymon_group	source_group
n000	one	k p i	1	n000	synthetic-m2
n000	two	k f i	1	n000	synthetic-m2
n001	one	k p a	1	n001	synthetic-m2
n001	two	k f a	1	n001	synthetic-m2
n002	one	k p u	1	n002	synthetic-m2
n002	two	k p u	1	n002	synthetic-m2
n003	one	k p e	1	n003	synthetic-m2
n003	two	k p e	1	n003	synthetic-m2
n004	one	k p i	1	n004	synthetic-m2
n004	two	k f i	1	n004	synthetic-m2
n005	one	k p a	1	n005	synthetic-m2
n005	two	k b a	1	n005	synthetic-m2
n006	one	k p u	1	n006	synthetic-m2
n006	two	k b u	1	n006	synthetic-m2
n007	one	k p e	1	n007	synthetic-m2
n007	two	k f e	1	n007	synthetic-m2
n008	one	k p i	1	n008	synthetic-m2
n008	two	k b i	1	n008	synthetic-m2
n009	one	k p a	1	n009	synthetic-m2
n009	two	k f a	1	n009	synthetic-m2
n010	one	k p u	1	n010	synthetic-m2
n010	two	k f u	1	n010	synthetic-m2
n011	one	k p e	1	n011	synthetic-m2
n011	two	k b e	1	n011	synthetic-m2
n012	one	k p i	1	n012	synthetic-m2
n012	two	k b i	1	n012	synthetic-m2
n013	one	k p a	1	n013	synthetic-m2
n013	two	k p a	1	n013	synthetic-m2
n014	one	k p u	1	n014	synthetic-m2
n014	two	k p u	1	n014	synthetic-m2
n015	one	k p e	1	n015	synthetic-m2
n015	two	k b e	1	n015	synthetic-m2
n016	one	k p i	1	n016	synthetic-m2
n016	two	k p i	1	n016	synthetic-m2
n017	one	k p a	1	n017	synthetic-m2
n017	two	k f a	1	n017	synthetic-m2
n018	one	k p u	1	n018	synthetic-m2
n018	two	k p u	1	n018	synthetic-m2
n019	one	k p e	1	n019	synthetic-m2
n019	two	k p e	1	n019	synthetic-m2
n020	one	k p i	1	n020	synthetic-m2
n020	two	k b i	1	n020	synthetic-m2
n021	one	k p a	1	n021	synthetic-m2
n021	two	k f a	1	n021	synthetic-m2
n022	one	k p u	1	n022	synthetic-m2
n022	two	k p u	1	n022	synthetic-m2
n023	one	k p e	1	n023	synthetic-m2
n023	two	k f e	1	n023	synthetic-m2
n024	one	k p i	1	n024	synthetic-m2
n024	two	k b i	1	n024	synthetic-m2
n025	one	k p a	1	n025	synthetic-m2
n025	two	k b a	1	n025	synthetic-m2
n026	one	k p u	1	n026	synthetic-m2
n026	two	k b u	1	n026	synthetic-m2
n027	one	k p e	1	n027	synthetic-m2
n027	two	k b e	1	n027	synthetic-m2
n028	one	k p i	1	n028	synthetic-m2
n028	two	k p i	1	n028	synthetic-m2
n029	one	k p a	1	n029	synthetic-m2
n029	two	k p a	1	n029	synthetic-m2
n030	one	k p u	1	n030	synthetic-m2
n030	two	k b u	1	n030	synthetic-m2
n031	one	k p e	1	n031	synthetic-m2
n031	two	k p e	1	n031	synthetic-m2
n032	one	k p i	1	n032	synthetic-m2
n032	two	k f i	1	n032	synthetic-m2
n033	one	k p a	1	n033	synthetic-m2
n033	two	k f a	1	n033	synthetic-m2
n034	one	k p u	1	n034	synthetic-m2
n034	two	k b u	1	n034	synthetic-m2
n035	one	k p e	1	n035	synthetic-m2
n035	two	k p e	1	n035	synthetic-m2
n036	one	k p i	1	n036	synthetic-m2
n036	two	k p i	1	n036	synthetic-m2
n037	one	k p a	1	n037	synthetic-m2
n037	two	k b a	1	n037	synthetic-m2
n038	one	k p u	1	n038	synthetic-m2
n038	two	k f u	1	n038	synthetic-m2
n039	one	k p e	1	n039	synthetic-m2
n039	two	k b e	1	n039	synthetic-m2
n040	one	k p i	1	n040	synthetic-m2
n040	two	k f i	1	n040	synthetic-m2
n041	one	k p a	1	n041	synthetic-m2
n041	two	k p a	1	n041	synthetic-m2
n042	one	k p u	1	n042	synthetic-m2
n042	two	k b u	1	n042	synthetic-m2
n043	one	k p e	1	n043	synthetic-m2
n043	two	k b e	1	n043	synthetic-m2
n044	one	k p i	1	n044	synthetic-m2
n044	two	k p i	1	n044	synthetic-m2
n045	one	k p a	1	n045	synthetic-m2
n045	two	k p a	1	n045	synthetic-m2
n046	one	k p u	1	n046	synthetic-m2
n046	two	k p u	1	n046	synthetic-m2
n047	one	k p e	1	n047	synthetic-m2
n047	two	k p e	1	n047	synthetic-m2
