cognate_id	lect_id	segments	confidence	etymon_group	source_group
w000	ancestor	k p i	1	history-000	synthetic-m2
w000	innovator	k f i	1	history-000	synthetic-m2
w001	ancestor	k p i	1	history-001	synthetic-m2
w001	innovator	k f i	1	history-001	synthetic-m2
w002	ancestor	k p i	1	history-002	synthetic-m2
w002	innovator	k f i	1	history-002	synthetic-m2
w003	ancestor	k p i	1	history-003	synthetic-m2
w003	innovator	k f i	1	history-003	synthetic-m2
w004	ancestor	k p i	1	history-004	synthetic-m2
w004	innovator	k f i	1	history-004	synthetic-m2
w005	ancestor	k p i	1	history-005	synthetic-m2
w005	innovator	k f i	1	history-005	synthetic-m2
w006	ancestor	k p i	1	history-006	synthetic-m2
w006	innovator	k f i	1	history-006	synthetic-m2
w007	ancestor	k p i	1	history-007	synthetic-m2
w007	innovator	k f i	1	history-007	synthetic-m2
w008	ancestor	k p a	1	history-008	synthetic-m2
w008	innovator	k p a	1	history-008	synthetic-m2
w009	ancestor	k p a	1	history-009	synthetic-m2
w009	innovator	k p a	1	history-009	synthetic-m2
w010	ancestor	k p a	1	history-010	synthetic-m2
w010	innovator	k p a	1	history-010	synthetic-m2
w011	ancestor	k p a	1	history-011	synthetic-m2
w011	innovator	k p a	1	history-011	synthetic-m2
w012	ancestor	k p a	1	history-012	synthetic-m2
w012	innovator	k p a	1	history-012	synthetic-m2
w013	ancestor	k p a	1	history-013	synthetic-m2
w013	innovator	k p a	1	history-013	synthetic-m2
w014	ancestor	k p a	1	history-014	synthetic-m2
w014	innovator	k p a	1	history-014	synthetic-m2
w015	ancestor	k p a	1	history-015	synthetic-m2
w015	innovator	k p a	1	history-015	synthetic-m2
layer-n000	one	k p i	1	layer-n000	contact-layer
layer-n000	two	k p i	1	layer-n000	contact-layer
layer-n001	one	k p a	1	layer-n001	contact-layer
layer-n001	two	k f a	1	layer-n001	contact-layer
layer-n002	one	k p u	1	layer-n002	contact-layer
layer-n002	two	k f u	1	layer-n002	contact-layer
layer-n003	one	k p e	1	layer-n003	contact-layer
layer-n003	two	k p e	1	layer-n003	contact-layer
layer-n004	one	k p i	1	layer-n004	contact-layer
layer-n004	two	k p i	1	layer-n004	contact-layer
layer-n005	one	k p a	1	layer-n005	contact-layer
layer-n005	two	k b a	1	layer-n005	contact-layer
layer-n006	one	k p u	1	layer-n006	contact-layer
layer-n006	two	k p u	1	layer-n006	contact-layer
layer-n007	one	k p e	1	layer-n007	contact-layer
layer-n007	two	k p e	1	layer-n007	contact-layer
layer-n008	one	k p i	1	layer-n008	contact-layer
layer-n008	two	k p i	1	layer-n008	contact-layer
layer-n009	one	k p a	1	layer-n009	contact-layer
layer-n009	two	k p a	1	layer-n009	contact-layer
layer-n010	one	k p u	1	layer-n010	contact-layer
layer-n010	two	k b u	1	layer-n010	contact-layer
layer-n011	one	k p e	1	layer-n011	contact-layer
layer-n011	two	k p e	1	layer-n011	contact-layer
layer-n012	one	k p i	1	layer-n012	contact-layer
layer-n012	two	k f i	1	layer-n012	contact-layer
layer-n013	one	k p a	1	layer-n013	contact-layer
layer-n013	two	k b a	1	layer-n013	contact-layer
layer-n014	one	k p u	1	layer-n014	contact-layer
layer-n014	two	k p u	1	layer-n014	contact-layer
layer-n015	one	k p e	1	layer-n015	contact-layer
layer-n015	two	k f e	1	layer-n015	contact-layer
