gloss	proto	derived
E1	ˈpe-ta	ˈpɛ-ta
E2	ˈpe-ro	ˈpɛ-ro
E3	ˈpe-li	ˈpɛ-li
E4	ˈte-na	ˈtɛ-na
E5	ˈte-ru	ˈtɛ-ru
E6	ˈte-mo	ˈtɛ-mo
E7	ˈke-pa	ˈkɛ-pa
E8	ˈke-no	ˈkɛ-no
E9	ˈme-ru	ˈmɛ-ru
E10	ˈme-na	ˈmɛ-na
E11	ˈde-po	ˈdɛ-po
E12	ˈde-la	ˈdɛ-la
O1	ˈpo-ta	ˈpɔ-ta
O2	ˈpo-mi	ˈpɔ-mi
O3	ˈto-la	ˈtɔ-la
O4	ˈto-pe	ˈtɔ-pe
O5	ˈko-na	ˈkɔ-na
O6	ˈko-ri	ˈkɔ-ri
O7	ˈmo-la	ˈmɔ-la
O8	ˈmo-ni	ˈmɔ-ni
O9	ˈdo-ra	ˈdɔ-ra
O10	ˈdo-mi	ˈdɔ-mi
U1	pe-ˈta	pe-ˈta
U2	pe-ˈro	pe-ˈro
U3	te-ˈna	te-ˈna
U4	te-ˈru	te-ˈru
U5	ke-ˈpa	ke-ˈpa
U6	me-ˈna	me-ˈna
U7	de-ˈpo	de-ˈpo
U8	po-ˈta	po-ˈta
U9	po-ˈmi	po-ˈmi
U10	to-ˈla	to-ˈla
U11	to-ˈpe	to-ˈpe
U12	ko-ˈna	ko-ˈna
U13	mo-ˈla	mo-ˈla
U14	do-ˈra	do-ˈra
