gloss	navajo	chipewyan
1sg_pronoun	ʃí	sí
water	tʰó	tú
fire	kʰṍʔ	kʰṹn
stone	tsʰé	θé
mountain	tsìɬ	ðèɬ
dog	ɬĩ̀ːʔ	ɬĩ̀
fish	ɬóːʔ	ɬùé
louse	jàːʔ	jà
person	tìné	tə̀né
sun	ʃá	sà
star	sṍːʔ	θə̃́
night	tɬʰèːʔ	χèɬ
name	ʒí	ìzí
head	tsíːʔ	tθí
tooth	wóːʔ	ɣú
tongue	tsòːʔ	θù
ear	dʒàːʔ	tsàɣà
eye	náːʔ	náɣà
nose	tʃʰíːh	ntsí
hand	láʔ	lá
foot	kʰèːʔ	kʰé
knee	ɡòd	ɡòr
bone	tsʼìn	tθʼə̀né
horn	tèːʔ	tè
leaf	tʼáːʔ	tʼá
tree	tsìn	tʃʰìn
breast	bèːʔ	tθʼùé
drink	dlã́ː	dã́ː
two	nákʰì	nàkʰé
blood	tìɬ	tèɬ
leg	dʒáːd	tʃʰàt
liver	zìd	zèt
