gloss	proto	daughter_a	daughter_b
vl1-01	pi¹¹	pi¹¹	pi²²
vl1-02	pa¹¹	pa¹¹	pa²²
vl1-03	pu¹¹	pu¹¹	pu²²
vl1-04	po¹¹	po¹¹	po²²
vl1-05	pe¹¹	pe¹¹	pe²²
vl1-06	ti¹¹	ti¹¹	ti²²
vl1-07	ta¹¹	ta¹¹	ta²²
vl1-08	tu¹¹	tu¹¹	tu²²
vl1-09	to¹¹	to¹¹	to²²
vl1-10	te¹¹	te¹¹	te²²
vl2-01	pi²²	pi¹¹	pi²²
vl2-02	pa²²	pa¹¹	pa²²
vl2-03	pu²²	pu¹¹	pu²²
vl2-04	po²²	po¹¹	po²²
vl2-05	pe²²	pe¹¹	pe²²
vl2-06	ti²²	ti¹¹	ti²²
vl2-07	ta²²	ta¹¹	ta²²
vl2-08	tu²²	tu¹¹	tu²²
vl2-09	to²²	to¹¹	to²²
vl2-10	te²²	te¹¹	te²²
vl3-01	pi³³	pi¹¹	pi²²
vl3-02	pa³³	pa¹¹	pa²²
vl3-03	pu³³	pu¹¹	pu²²
vl3-04	po³³	po¹¹	po²²
vl3-05	pe³³	pe¹¹	pe²²
vl3-06	ti³³	ti¹¹	ti²²
vl3-07	ta³³	ta¹¹	ta²²
vl3-08	tu³³	tu¹¹	tu²²
vl3-09	to³³	to¹¹	to²²
vl3-10	te³³	te¹¹	te²²
vl4-01	pi⁴⁴	pi¹¹	pi²²
vl4-02	pa⁴⁴	pa¹¹	pa²²
vl4-03	pu⁴⁴	pu¹¹	pu²²
vl4-04	po⁴⁴	po¹¹	po²²
vl4-05	pe⁴⁴	pe¹¹	pe²²
vl4-06	ti⁴⁴	ti¹¹	ti²²
vl4-07	ta⁴⁴	ta¹¹	ta²²
vl4-08	tu⁴⁴	tu¹¹	tu²²
vl4-09	to⁴⁴	to¹¹	to²²
vl4-10	te⁴⁴	te¹¹	te²²
vd1-01	bi¹¹	bi⁴⁴	bi³³
vd1-02	ba¹¹	ba⁴⁴	ba³³
vd1-03	bu¹¹	bu⁴⁴	bu³³
vd1-04	bo¹¹	bo⁴⁴	bo³³
vd1-05	be¹¹	be⁴⁴	be³³
vd1-06	di¹¹	di⁴⁴	di³³
vd1-07	da¹¹	da⁴⁴	da³³
vd1-08	du¹¹	du⁴⁴	du³³
vd1-09	do¹¹	do⁴⁴	do³³
vd1-10	de¹¹	de⁴⁴	de³³
vd2-01	bi²²	bi⁴⁴	bi³³
vd2-02	ba²²	ba⁴⁴	ba³³
vd2-03	bu²²	bu⁴⁴	bu³³
vd2-04	bo²²	bo⁴⁴	bo³³
vd2-05	be²²	be⁴⁴	be³³
vd2-06	di²²	di⁴⁴	di³³
vd2-07	da²²	da⁴⁴	da³³
vd2-08	du²²	du⁴⁴	du³³
vd2-09	do²²	do⁴⁴	do³³
vd2-10	de²²	de⁴⁴	de³³
vd3-01	bi³³	bi⁴⁴	bi³³
vd3-02	ba³³	ba⁴⁴	ba³³
vd3-03	bu³³	bu⁴⁴	bu³³
vd3-04	bo³³	bo⁴⁴	bo³³
vd3-05	be³³	be⁴⁴	be³³
vd3-06	di³³	di⁴⁴	di³³
vd3-07	da³³	da⁴⁴	da³³
vd3-08	du³³	du⁴⁴	du³³
vd3-09	do³³	do⁴⁴	do³³
vd3-10	de³³	de⁴⁴	de³³
vd4-01	bi⁴⁴	bi⁴⁴	bi³³
vd4-02	ba⁴⁴	ba⁴⁴	ba³³
vd4-03	bu⁴⁴	bu⁴⁴	bu³³
vd4-04	bo⁴⁴	bo⁴⁴	bo³³
vd4-05	be⁴⁴	be⁴⁴	be³³
vd4-06	di⁴⁴	di⁴⁴	di³³
vd4-07	da⁴⁴	da⁴⁴	da³³
vd4-08	du⁴⁴	du⁴⁴	du³³
vd4-09	do⁴⁴	do⁴⁴	do³³
vd4-10	de⁴⁴	de⁴⁴	de³³
