gloss	proto	derived
u1	pati	pæti
u2	bani	bæni
u3	kati	kæti
u4	dani	dæni
u5	gati	gæti
u6	pabe	pæbe
u7	bade	bæde
u8	kame	kæme
u9	dape	dæpe
u10	gabe	gæbe
n1	pato	pato
n2	bado	bado
n3	kako	kako
n4	dago	dago
n5	gamo	gamo
n6	papu	papu
n7	babu	babu
n8	kamu	kamu
n9	datu	datu
n10	gapu	gapu
c1	piti	piti
c2	biki	biki
c3	kiti	kiti
c4	diki	diki
c5	gidi	gidi
c6	pito	pito
c7	bito	bito
c8	kito	kito
c9	duki	duki
c10	gumi	gumi
c11	puki	puki
c12	buti	buti
c13	kuti	kuti
c14	dudu	dudu
c15	gudu	gudu
c16	pupu	pupu
c17	bubu	bubu
c18	kuku	kuku
c19	duma	duma
c20	gutu	gutu
