gloss	finnish	estonian	finnish_breaks	estonian_breaks
hand	kæsi	kæsi	-	-
eye	silmæ	silm	-	-
head	pæː	peɑ	-	-
foot	jɑlkɑ	jɑlg	-	-
tooth	hɑmmɑs	hɑmmɑs	-	-
blood	veri	veri	-	-
water	vesi	vesi	-	-
name	nimi	nimi	-	-
moon	kuː	kuː	-	-
fire	tuli	tuli	-	-
night	yø	øː	-	-
day	pæivæ	pæev	-	-
earth	mɑː	mɑː	-	-
farm	tɑlo	tɑlu	-	-
dog	koirɑ	koer	-	-
fish	kɑlɑ	kɑlɑ	-	-
tongue	kieli	keːl	-	-
heart	sydæn	sydɑ	-	-
woman	nɑinen	nɑine	-	-
man	mies	meːs	-	-
boy	poikɑ	poeg	-	-
daughter	tytær	tytɑr	-	-
father	isæ	isɑ	-	-
one	yksi	yks	-	-
two	kɑksi	kɑks	-	-
three	kolme	kolm	-	-
four	neljæ	neli	-	-
five	viːsi	viːs	-	-
six	kuːsi	kuːs	-	-
seven	seitsemæn	seitse	-	-
eight	kɑhdeksɑn	kɑheksɑ	-	-
nine	yhdeksæn	yheksɑ	-	-
ten	kymmenen	kymme	-	-
come	tullɑ	tullɑ	-	-
go	mennæ	minnɑ	-	-
eat	syødæ	syːɑ	4	-
drink	juodɑ	juːɑ	4	-
see	næhdæ	næhɑ	4	-
hear	kuːllɑ	kuːldɑ	-	4
know	tietæː	teɑdɑ	-	4
