cognate_id	lect_id	segments	tone	confidence
n000	aa_conditioner	b a	- -	1.0
n000	zz_bearer	p a	- 4	1.0
n001	aa_conditioner	p a	- -	1.0
n001	zz_bearer	p a	- 4	1.0
n002	aa_conditioner	d a	- -	1.0
n002	zz_bearer	t a	- 4	1.0
n003	aa_conditioner	t a	- -	1.0
n003	zz_bearer	t a	- 4	1.0
n004	aa_conditioner	g a	- -	1.0
n004	zz_bearer	k a	- 4	1.0
n005	aa_conditioner	k a	- -	1.0
n005	zz_bearer	k a	- 4	1.0
n006	aa_conditioner	b i	- -	1.0
n006	zz_bearer	p i	- 1	1.0
n007	aa_conditioner	p i	- -	1.0
n007	zz_bearer	p i	- 1	1.0
n008	aa_conditioner	d i	- -	1.0
n008	zz_bearer	t i	- 1	1.0
n009	aa_conditioner	t i	- -	1.0
n009	zz_bearer	t i	- 1	1.0
n010	aa_conditioner	g i	- -	1.0
n010	zz_bearer	k i	- 1	1.0
n011	aa_conditioner	k i	- -	1.0
n011	zz_bearer	k i	- 1	1.0
n012	aa_conditioner	b u	- -	1.0
n012	zz_bearer	p u	- 4	1.0
n013	aa_conditioner	p u	- -	1.0
n013	zz_bearer	p u	- 4	1.0
n014	aa_conditioner	d u	- -	1.0
n014	zz_bearer	t u	- 4	1.0
n015	aa_conditioner	t u	- -	1.0
n015	zz_bearer	t u	- 4	1.0
n016	aa_conditioner	g u	- -	1.0
n016	zz_bearer	k u	- 4	1.0
n017	aa_conditioner	k u	- -	1.0
n017	zz_bearer	k u	- 4	1.0
n018	aa_conditioner	b a	- -	1.0
n018	zz_bearer	p a	- 1	1.0
n019	aa_conditioner	p a	- -	1.0
n019	zz_bearer	p a	- 1	1.0
n020	aa_conditioner	d a	- -	1.0
n020	zz_bearer	t a	- 1	1.0
n021	aa_conditioner	t a	- -	1.0
n021	zz_bearer	t a	- 1	1.0
n022	aa_conditioner	g a	- -	1.0
n022	zz_bearer	k a	- 1	1.0
n023	aa_conditioner	k a	- -	1.0
n023	zz_bearer	k a	- 1	1.0
n024	aa_conditioner	b i	- -	1.0
n024	zz_bearer	p i	- 4	1.0
n025	aa_conditioner	p i	- -	1.0
n025	zz_bearer	p i	- 4	1.0
n026	aa_conditioner	d i	- -	1.0
n026	zz_bearer	t i	- 4	1.0
n027	aa_conditioner	t i	- -	1.0
n027	zz_bearer	t i	- 4	1.0
n028	aa_conditioner	g i	- -	1.0
n028	zz_bearer	k i	- 4	1.0
n029	aa_conditioner	k i	- -	1.0
n029	zz_bearer	k i	- 4	1.0
n030	aa_conditioner	b u	- -	1.0
n030	zz_bearer	p u	- 1	1.0
n031	aa_conditioner	p u	- -	1.0
n031	zz_bearer	p u	- 1	1.0
n032	aa_conditioner	d u	- -	1.0
n032	zz_bearer	t u	- 1	1.0
n033	aa_conditioner	t u	- -	1.0
n033	zz_bearer	t u	- 1	1.0
n034	aa_conditioner	g u	- -	1.0
n034	zz_bearer	k u	- 1	1.0
n035	aa_conditioner	k u	- -	1.0
n035	zz_bearer	k u	- 1	1.0
