cognate_id	lect_id	segments	tone	confidence
y000	aa_tone	p a	- 4	1.0
y000	zz_tone	f a	- 4	1.0
y001	aa_tone	p a	- 1	1.0
y001	zz_tone	f a	- 1	1.0
y002	aa_tone	t a	- 4	1.0
y002	zz_tone	s a	- 4	1.0
y003	aa_tone	t a	- 1	1.0
y003	zz_tone	s a	- 1	1.0
y004	aa_tone	k a	- 4	1.0
y004	zz_tone	x a	- 4	1.0
y005	aa_tone	k a	- 1	1.0
y005	zz_tone	x a	- 1	1.0
y006	aa_tone	p i	- 4	1.0
y006	zz_tone	f i	- 4	1.0
y007	aa_tone	p i	- 1	1.0
y007	zz_tone	f i	- 1	1.0
y008	aa_tone	t i	- 4	1.0
y008	zz_tone	s i	- 4	1.0
y009	aa_tone	t i	- 1	1.0
y009	zz_tone	s i	- 1	1.0
y010	aa_tone	k i	- 4	1.0
y010	zz_tone	x i	- 4	1.0
y011	aa_tone	k i	- 1	1.0
y011	zz_tone	x i	- 1	1.0
y012	aa_tone	p u	- 4	1.0
y012	zz_tone	f u	- 4	1.0
y013	aa_tone	p u	- 1	1.0
y013	zz_tone	f u	- 1	1.0
y014	aa_tone	t u	- 4	1.0
y014	zz_tone	s u	- 4	1.0
y015	aa_tone	t u	- 1	1.0
y015	zz_tone	s u	- 1	1.0
y016	aa_tone	k u	- 4	1.0
y016	zz_tone	x u	- 4	1.0
y017	aa_tone	k u	- 1	1.0
y017	zz_tone	x u	- 1	1.0
y018	aa_tone	p a	- 4	1.0
y018	zz_tone	f a	- 4	1.0
y019	aa_tone	p a	- 1	1.0
y019	zz_tone	f a	- 1	1.0
y020	aa_tone	t a	- 4	1.0
y020	zz_tone	s a	- 4	1.0
y021	aa_tone	t a	- 1	1.0
y021	zz_tone	s a	- 1	1.0
y022	aa_tone	k a	- 4	1.0
y022	zz_tone	x a	- 4	1.0
y023	aa_tone	k a	- 1	1.0
y023	zz_tone	x a	- 1	1.0
y024	aa_tone	p i	- 4	1.0
y024	zz_tone	f i	- 4	1.0
y025	aa_tone	p i	- 1	1.0
y025	zz_tone	f i	- 1	1.0
y026	aa_tone	t i	- 4	1.0
y026	zz_tone	s i	- 4	1.0
y027	aa_tone	t i	- 1	1.0
y027	zz_tone	s i	- 1	1.0
y028	aa_tone	k i	- 4	1.0
y028	zz_tone	x i	- 4	1.0
y029	aa_tone	k i	- 1	1.0
y029	zz_tone	x i	- 1	1.0
y030	aa_tone	p u	- 4	1.0
y030	zz_tone	f u	- 4	1.0
y031	aa_tone	p u	- 1	1.0
y031	zz_tone	f u	- 1	1.0
y032	aa_tone	t u	- 4	1.0
y032	zz_tone	s u	- 4	1.0
y033	aa_tone	t u	- 1	1.0
y033	zz_tone	s u	- 1	1.0
y034	aa_tone	k u	- 4	1.0
y034	zz_tone	x u	- 4	1.0
y035	aa_tone	k u	- 1	1.0
y035	zz_tone	x u	- 1	1.0
