cognate_id	lect_id	segments	tone	confidence
c000	aa_old	p a t i	- - - -	1.0
c000	zz_new	p a s i	- - - -	1.0
c001	aa_old	m a t a	- - - -	1.0
c001	zz_new	m a t a	- - - -	1.0
c002	aa_old	k a t i	- - - -	1.0
c002	zz_new	k a s i	- - - -	1.0
c003	aa_old	p a t a	- - - -	1.0
c003	zz_new	p a t a	- - - -	1.0
c004	aa_old	m a t i	- - - -	1.0
c004	zz_new	m a s i	- - - -	1.0
c005	aa_old	k a t a	- - - -	1.0
c005	zz_new	k a t a	- - - -	1.0
c006	aa_old	p a t i	- - - -	1.0
c006	zz_new	p a s i	- - - -	1.0
c007	aa_old	m a t a	- - - -	1.0
c007	zz_new	m a t a	- - - -	1.0
c008	aa_old	k a t i	- - - -	1.0
c008	zz_new	k a s i	- - - -	1.0
c009	aa_old	p a t a	- - - -	1.0
c009	zz_new	p a t a	- - - -	1.0
c010	aa_old	m a t i	- - - -	1.0
c010	zz_new	m a s i	- - - -	1.0
c011	aa_old	k a t a	- - - -	1.0
c011	zz_new	k a t a	- - - -	1.0
c012	aa_old	p a t i	- - - -	1.0
c012	zz_new	p a s i	- - - -	1.0
c013	aa_old	m a t a	- - - -	1.0
c013	zz_new	m a t a	- - - -	1.0
c014	aa_old	k a t i	- - - -	1.0
c014	zz_new	k a s i	- - - -	1.0
c015	aa_old	p a t a	- - - -	1.0
c015	zz_new	p a t a	- - - -	1.0
c016	aa_old	m a t i	- - - -	1.0
c016	zz_new	m a s i	- - - -	1.0
c017	aa_old	k a t a	- - - -	1.0
c017	zz_new	k a t a	- - - -	1.0
c018	aa_old	p a t i	- - - -	1.0
c018	zz_new	p a s i	- - - -	1.0
c019	aa_old	m a t a	- - - -	1.0
c019	zz_new	m a t a	- - - -	1.0
