cognate_id	lect_id	segments	tone	confidence
p000	base_one	p a t i	- - - -	1.0
p000	base_two	p a k i	- - - -	1.0
p000	merged_one	p a s i	- - - -	1.0
p000	merged_two	p a s e	- - - -	1.0
p001	base_one	m a t a	- - - -	1.0
p001	base_two	m a k a	- - - -	1.0
p001	merged_one	m a s a	- - - -	1.0
p001	merged_two	m a s o	- - - -	1.0
p002	base_one	k a t i	- - - -	1.0
p002	base_two	k a k i	- - - -	1.0
p002	merged_one	k a s i	- - - -	1.0
p002	merged_two	k a s e	- - - -	1.0
p003	base_one	p a t a	- - - -	1.0
p003	base_two	p a k a	- - - -	1.0
p003	merged_one	p a s a	- - - -	1.0
p003	merged_two	p a s o	- - - -	1.0
p004	base_one	m a t i	- - - -	1.0
p004	base_two	m a k i	- - - -	1.0
p004	merged_one	m a s i	- - - -	1.0
p004	merged_two	m a s e	- - - -	1.0
p005	base_one	k a t a	- - - -	1.0
p005	base_two	k a k a	- - - -	1.0
p005	merged_one	k a s a	- - - -	1.0
p005	merged_two	k a s o	- - - -	1.0
p006	base_one	p a t i	- - - -	1.0
p006	base_two	p a k i	- - - -	1.0
p006	merged_one	p a s i	- - - -	1.0
p006	merged_two	p a s e	- - - -	1.0
p007	base_one	m a t a	- - - -	1.0
p007	base_two	m a k a	- - - -	1.0
p007	merged_one	m a s a	- - - -	1.0
p007	merged_two	m a s o	- - - -	1.0
p008	base_one	k a t i	- - - -	1.0
p008	base_two	k a k i	- - - -	1.0
p008	merged_one	k a s i	- - - -	1.0
p008	merged_two	k a s e	- - - -	1.0
p009	base_one	p a t a	- - - -	1.0
p009	base_two	p a k a	- - - -	1.0
p009	merged_one	p a s a	- - - -	1.0
p009	merged_two	p a s o	- - - -	1.0
p010	base_one	m a t i	- - - -	1.0
p010	base_two	m a k i	- - - -	1.0
p010	merged_one	m a s i	- - - -	1.0
p010	merged_two	m a s e	- - - -	1.0
p011	base_one	k a t a	- - - -	1.0
p011	base_two	k a k a	- - - -	1.0
p011	merged_one	k a s a	- - - -	1.0
p011	merged_two	k a s o	- - - -	1.0
p012	base_one	p a t i	- - - -	1.0
p012	base_two	p a k i	- - - -	1.0
p012	merged_one	p a s i	- - - -	1.0
p012	merged_two	p a s e	- - - -	1.0
p013	base_one	m a t a	- - - -	1.0
p013	base_two	m a k a	- - - -	1.0
p013	merged_one	m a s a	- - - -	1.0
p013	merged_two	m a s o	- - - -	1.0
p014	base_one	k a t i	- - - -	1.0
p014	base_two	k a k i	- - - -	1.0
p014	merged_one	k a s i	- - - -	1.0
p014	merged_two	k a s e	- - - -	1.0
p015	base_one	p a t a	- - - -	1.0
p015	base_two	p a k a	- - - -	1.0
p015	merged_one	p a s a	- - - -	1.0
p015	merged_two	p a s o	- - - -	1.0
p016	base_one	m a t i	- - - -	1.0
p016	base_two	m a k i	- - - -	1.0
p016	merged_one	m a s i	- - - -	1.0
p016	merged_two	m a s e	- - - -	1.0
p017	base_one	k a t a	- - - -	1.0
p017	base_two	k a k a	- - - -	1.0
p017	merged_one	k a s a	- - - -	1.0
p017	merged_two	k a s o	- - - -	1.0
p018	base_one	p a t i	- - - -	1.0
p018	base_two	p a k i	- - - -	1.0
p018	merged_one	p a s i	- - - -	1.0
p018	merged_two	p a s e	- - - -	1.0
p019	base_one	m a t a	- - - -	1.0
p019	base_two	m a k a	- - - -	1.0
p019	merged_one	m a s a	- - - -	1.0
p019	merged_two	m a s o	- - - -	1.0
