gloss	middle_chinese	mc_tone	mandarin	md_tone
one	ʔit	4	i	1
two	ɲi	3	ər	4
three	sam	1	san	1
four	si	3	sɯ	4
five	ŋu	2	u	3
six	ljuk	4	ljou	4
seven	tsʰit	4	tɕʰi	1
eight	pɛt	4	pa	1
nine	kjuw	2	tɕjou	3
ten	dʑip	4	ʂɯ	2
hundred	pɛk	4	pai	3
heaven	tʰen	1	tʰjɛn	1
earth	di	3	ti	4
sun	ɲit	4	ʐɯ	4
moon	ŋwot	4	yɛ	4
year	nen	1	njɛn	2
water	ɕwi	2	ʂwei	3
fire	xwa	2	xwo	3
mountain	ʂɛn	1	ʂan	1
river	tsʰwen	1	tʃʰwan	1
big	da	3	ta	4
small	sjew	2	ɕjau	3
man	nom	1	nan	2
woman	ɳɨ	2	ny	3
son	tsi	2	tsɯ	3
father	bju	2	fu	4
mother	muw	2	mu	3
horse	mɛ	2	ma	3
dog	kʰjwen	2	tɕʰywan	3
cow	ŋju	1	nju	2
sheep	jaŋ	1	jaŋ	2
bird	tew	2	njau	3
fish	ŋjo	1	y	2
wood	muk	4	mu	4
stone	dʑjek	4	ʂɯ	2
gold	kim	1	tɕin	1
iron	tʰet	4	tʰjɛ	3
rain	xju	2	y	3
wind	pjuwŋ	1	fəŋ	1
cloud	ɦjun	1	yn	2
