cognate_id	lect_id	segments
d000	proto	t a p a
d000	daughter	t a p a
d001	proto	t a p e
d001	daughter	t a f e
d002	proto	t a p i
d002	daughter	t a p i
d003	proto	t a p o
d003	daughter	t a f o
d004	proto	t a p u
d004	daughter	t a f u
d005	proto	t e p a
d005	daughter	t e f a
d006	proto	t e p e
d006	daughter	t e f e
d007	proto	t e p i
d007	daughter	t e p i
d008	proto	t e p o
d008	daughter	t e p o
d009	proto	t e p u
d009	daughter	t e p u
d010	proto	t i p a
d010	daughter	t i f a
d011	proto	t i p e
d011	daughter	t i f e
d012	proto	t i p i
d012	daughter	t i p i
d013	proto	t i p o
d013	daughter	t i p o
d014	proto	t i p u
d014	daughter	t i p u
d015	proto	t o p a
d015	daughter	t o p a
d016	proto	t o p e
d016	daughter	t o p e
d017	proto	t o p i
d017	daughter	t o f i
d018	proto	t o p o
d018	daughter	t o f o
d019	proto	t o p u
d019	daughter	t o f u
d020	proto	t u p a
d020	daughter	t u f a
d021	proto	t u p e
d021	daughter	t u f e
d022	proto	t u p i
d022	daughter	t u p i
d023	proto	t u p o
d023	daughter	t u p o
d024	proto	t u p u
d024	daughter	t u p u
d025	proto	k a p a
d025	daughter	k a p a
d026	proto	k a p e
d026	daughter	k a f e
d027	proto	k a p i
d027	daughter	k a p i
d028	proto	k a p o
d028	daughter	k a p o
d029	proto	k a p u
d029	daughter	k a p u
d030	proto	k e p a
d030	daughter	k e f a
d031	proto	k e p e
d031	daughter	k e p e
d032	proto	k e p i
d032	daughter	k e p i
d033	proto	k e p o
d033	daughter	k e p o
d034	proto	k e p u
d034	daughter	k e p u
d035	proto	k i p a
d035	daughter	k i f a
d036	proto	k i p e
d036	daughter	k i f e
d037	proto	k i p i
d037	daughter	k i f i
d038	proto	k i p o
d038	daughter	k i f o
d039	proto	k i p u
d039	daughter	k i p u
d040	proto	k o p a
d040	daughter	k o p a
d041	proto	k o p e
d041	daughter	k o f e
d042	proto	k o p i
d042	daughter	k o f i
d043	proto	k o p o
d043	daughter	k o p o
d044	proto	k o p u
d044	daughter	k o f u
d045	proto	k u p a
d045	daughter	k u f a
d046	proto	k u p e
d046	daughter	k u f e
d047	proto	k u p i
d047	daughter	k u p i
d048	proto	k u p o
d048	daughter	k u p o
d049	proto	k u p u
d049	daughter	k u f u
d050	proto	m a p a
d050	daughter	m a p a
d051	proto	m a p e
d051	daughter	m a p e
