gloss	mandarin	cantonese
one	i⁵⁵	jat²³
two	er⁵¹	ji²²
three	san⁵⁵	saam⁵⁵
four	si⁵¹	sei³³
five	wu²¹⁴	ng²³
six	liu⁵¹	luk²²
seven	qi⁵⁵	cat⁵⁵
eight	ba⁵⁵	baat³³
nine	jiu²¹⁴	gau³⁵
ten	si³⁵	sap²²
person	ren³⁵	jan²¹
man	nan³⁵	naam²¹
woman	nv²¹⁴	neoi²³
child	hai³⁵	hai²¹
mother	ma⁵⁵	maa⁵⁵
father	ba⁵¹	baa²¹
brother	ge⁵⁵	go⁵⁵
sister	jie²¹⁴	ze³⁵
friend	pengyou	pangjau
water	sui²¹⁴	seoi³⁵
fire	huo²¹⁴	fo³⁵
earth	tu²¹⁴	tou³⁵
sky	tian⁵⁵	tin⁵⁵
sun	ri⁵¹	jat²²
moon	yue⁵¹	jyut²²
star	xing⁵⁵	sing⁵⁵
mountain	san⁵⁵	saan⁵⁵
river	he³⁵	ho²¹
sea	hai²¹⁴	hoi³⁵
wind	feng⁵⁵	fung⁵⁵
rain	yu²¹⁴	jyu²³
cloud	yun³⁵	wan²¹
tree	shu⁵¹	syu²²
flower	hua⁵⁵	faa⁵⁵
grass	cao²¹⁴	cou³⁵
stone	shi³⁵	sek²²
road	lu⁵¹	lou²²
house	jia⁵⁵	gaa⁵⁵
book	shu⁵⁵	syu⁵⁵
dog	gou²¹⁴	gau³⁵
cat	mao⁵⁵	maau⁵⁵
bird	niao²¹⁴	niu²³
fish	yu³⁵	jyu²¹
cow	niu³⁵	ngau²¹
horse	ma²¹⁴	maa²³
pig	zhu⁵⁵	zyu⁵⁵
chicken	ji⁵⁵	gai⁵⁵
head	tou³⁵	tau²¹
eye	yan²¹⁴	ngaan²³
ear	er²¹⁴	ji²³
nose	bi³⁵	bei²²
mouth	zui²¹⁴	zeoi³⁵
tongue	she³⁵	sit²²
tooth	ya³⁵	ngaa²¹
hand	shou²¹⁴	sau³⁵
foot	jiao²¹⁴	goek³³
one	yi⁵⁵	jat⁵⁵
red	hong³⁵	hung²¹
white	bai³⁵	baak²²
black	hei⁵⁵	hak⁵⁵
big	da⁵¹	daai²²
small	xiao²¹⁴	siu³⁵
good	hao²¹⁴	hou³⁵
new	xin⁵⁵	san⁵⁵
old	lao²¹⁴	lou²³
go	qu⁵¹	heoi³³
come	lai³⁵	loi²¹
eat	chi⁵⁵	hek³³
drink	he⁵⁵	jam³⁵
see	kan⁵¹	hon³³
hear	ting⁵⁵	ting⁵⁵
speak	shuo⁵⁵	syut³³
know	zhi⁵⁵	zi⁵⁵
