cognate_id	lect_id	segments	etymon_group	source_group
w00	ancestor	k a p i	w00	synthetic
w00	innovator	k a f i	w00	synthetic
w01	ancestor	k a p a	w01	synthetic
w01	innovator	k a p a	w01	synthetic
w02	ancestor	k a p i	w02	synthetic
w02	innovator	k a f i	w02	synthetic
w03	ancestor	k a p a	w03	synthetic
w03	innovator	k a p a	w03	synthetic
w04	ancestor	k a p i	w04	synthetic
w04	innovator	k a f i	w04	synthetic
w05	ancestor	k a p a	w05	synthetic
w05	innovator	k a p a	w05	synthetic
w06	ancestor	k a p i	w06	synthetic
w06	innovator	k a f i	w06	synthetic
w07	ancestor	k a p a	w07	synthetic
w07	innovator	k a p a	w07	synthetic
w08	ancestor	k a p i	w08	synthetic
w08	innovator	k a f i	w08	synthetic
w09	ancestor	k a p a	w09	synthetic
w09	innovator	k a p a	w09	synthetic
w10	ancestor	k a p i	w10	synthetic
w10	innovator	k a f i	w10	synthetic
w11	ancestor	k a p a	w11	synthetic
w11	innovator	k a p a	w11	synthetic
w12	ancestor	k a p i	w12	synthetic
w12	innovator	k a f i	w12	synthetic
w13	ancestor	k a p a	w13	synthetic
w13	innovator	k a p a	w13	synthetic
w14	ancestor	k a p i	w14	synthetic
w14	innovator	k a f i	w14	synthetic
w15	ancestor	k a p a	w15	synthetic
w15	innovator	k a p a	w15	synthetic
w16	ancestor	k a p i	w16	synthetic
w16	innovator	k a f i	w16	synthetic
w17	ancestor	k a p a	w17	synthetic
w17	innovator	k a p a	w17	synthetic
w18	ancestor	k a p i	w18	synthetic
w18	innovator	k a f i	w18	synthetic
w19	ancestor	k a p a	w19	synthetic
w19	innovator	k a p a	w19	synthetic
w20	ancestor	k a p i	w20	synthetic
w20	innovator	k a f i	w20	synthetic
w21	ancestor	k a p a	w21	synthetic
w21	innovator	k a p a	w21	synthetic
w22	ancestor	k a p i	w22	synthetic
w22	innovator	k a f i	w22	synthetic
w23	ancestor	k a p a	w23	synthetic
w23	innovator	k a p a	w23	synthetic
w24	ancestor	k a p i	w24	synthetic
w24	innovator	k a f i	w24	synthetic
w25	ancestor	k a p a	w25	synthetic
w25	innovator	k a p a	w25	synthetic
w26	ancestor	k a p i	w26	synthetic
w26	innovator	k a f i	w26	synthetic
w27	ancestor	k a p a	w27	synthetic
w27	innovator	k a p a	w27	synthetic
w28	ancestor	k a p i	w28	synthetic
w28	innovator	k a f i	w28	synthetic
w29	ancestor	k a p a	w29	synthetic
w29	innovator	k a p a	w29	synthetic
w30	ancestor	k a p i	w30	synthetic
w30	innovator	k a f i	w30	synthetic
w31	ancestor	k a p a	w31	synthetic
w31	innovator	k a p a	w31	synthetic
